"STATION","NAME","DATE","TAVG"
"USW00014739","BOSTON, MA US","2016-01-12","29"
"USW00014739","BOSTON, MA US","2016-01-13","29"
"USW00014739","BOSTON, MA US","2016-01-14","24"
"USW00014739","BOSTON, MA US","2016-01-15","31"
"USW00014739","BOSTON, MA US","2016-01-16","39"
"USW00014739","BOSTON, MA US","2016-01-17","35"
"USW00014739","BOSTON, MA US","2016-01-18","27"
"USW00014739","BOSTON, MA US","2016-01-19","20"
"USW00014739","BOSTON, MA US","2016-01-20","24"
"USW00014739","BOSTON, MA US","2016-01-21","27"
"USW00014739","BOSTON, MA US","2016-01-22","24"
"USW00014739","BOSTON, MA US","2016-01-23","29"
"USW00014739","BOSTON, MA US","2016-01-24","25"
"USW00014739","BOSTON, MA US","2016-01-25","31"
"USW00014739","BOSTON, MA US","2016-01-26","37"
"USW00014739","BOSTON, MA US","2016-01-27","43"
"USW00014739","BOSTON, MA US","2016-01-28","34"
"USW00014739","BOSTON, MA US","2016-01-29","36"
"USW00014739","BOSTON, MA US","2016-01-30","36"
"USW00014739","BOSTON, MA US","2016-01-31","43"
"USW00014739","BOSTON, MA US","2016-02-01","49"
"USW00014739","BOSTON, MA US","2016-02-02","44"
"USW00014739","BOSTON, MA US","2016-02-03","42"
"USW00014739","BOSTON, MA US","2016-02-04","54"
"USW00014739","BOSTON, MA US","2016-02-05","37"
"USW00014739","BOSTON, MA US","2016-02-06","29"
"USW00014739","BOSTON, MA US","2016-02-07","34"
"USW00014739","BOSTON, MA US","2016-02-08","29"
"USW00014739","BOSTON, MA US","2016-02-09","23"
"USW00014739","BOSTON, MA US","2016-02-10","28"
"USW00014739","BOSTON, MA US","2016-02-11","28"
"USW00014739","BOSTON, MA US","2016-02-12","15"
"USW00014739","BOSTON, MA US","2016-02-13","20"
"USW00014739","BOSTON, MA US","2016-02-14","0"
"USW00014739","BOSTON, MA US","2016-02-15","11"
"USW00014739","BOSTON, MA US","2016-02-16","40"
"USW00014739","BOSTON, MA US","2016-02-17","42"
"USW00014739","BOSTON, MA US","2016-02-18","33"
"USW00014739","BOSTON, MA US","2016-02-19","28"
"USW00014739","BOSTON, MA US","2016-02-20","43"
"USW00014739","BOSTON, MA US","2016-02-21","50"
"USW00014739","BOSTON, MA US","2016-02-22","40"
"USW00014739","BOSTON, MA US","2016-02-23","33"
"USW00014739","BOSTON, MA US","2016-02-24","39"
"USW00014739","BOSTON, MA US","2016-02-25","54"
"USW00014739","BOSTON, MA US","2016-02-26","38"
"USW00014739","BOSTON, MA US","2016-02-27","29"
"USW00014739","BOSTON, MA US","2016-02-28","42"
"USW00014739","BOSTON, MA US","2016-02-29","50"
"USW00014739","BOSTON, MA US","2016-03-01","42"
"USW00014739","BOSTON, MA US","2016-03-02","43"
"USW00014739","BOSTON, MA US","2016-03-03","27"
"USW00014739","BOSTON, MA US","2016-03-04","29"
"USW00014739","BOSTON, MA US","2016-03-05","28"
"USW00014739","BOSTON, MA US","2016-03-06","34"
"USW00014739","BOSTON, MA US","2016-03-07","38"
"USW00014739","BOSTON, MA US","2016-03-08","44"
"USW00014739","BOSTON, MA US","2016-03-09","53"
"USW00014739","BOSTON, MA US","2016-03-10","62"
"USW00014739","BOSTON, MA US","2016-03-11","48"
"USW00014739","BOSTON, MA US","2016-03-12","45"
"USW00014739","BOSTON, MA US","2016-03-13","54"
"USW00014739","BOSTON, MA US","2016-03-14","43"
"USW00014739","BOSTON, MA US","2016-03-15","43"
"USW00014739","BOSTON, MA US","2016-03-16","43"
"USW00014739","BOSTON, MA US","2016-03-17","49"
"USW00014739","BOSTON, MA US","2016-03-18","47"
"USW00014739","BOSTON, MA US","2016-03-19","37"
"USW00014739","BOSTON, MA US","2016-03-20","32"
"USW00014739","BOSTON, MA US","2016-03-21","33"
"USW00014739","BOSTON, MA US","2016-03-22","40"
"USW00014739","BOSTON, MA US","2016-03-23","49"
"USW00014739","BOSTON, MA US","2016-03-24","40"
"USW00014739","BOSTON, MA US","2016-03-25","39"
"USW00014739","BOSTON, MA US","2016-03-26","40"
"USW00014739","BOSTON, MA US","2016-03-27","37"
"USW00014739","BOSTON, MA US","2016-03-28","40"
"USW00014739","BOSTON, MA US","2016-03-29","45"
"USW00014739","BOSTON, MA US","2016-03-30","44"
"USW00014739","BOSTON, MA US","2016-03-31","55"
"USW00014739","BOSTON, MA US","2016-04-01","63"
"USW00014739","BOSTON, MA US","2016-04-02","53"
"USW00014739","BOSTON, MA US","2016-04-03","38"
"USW00014739","BOSTON, MA US","2016-04-04","28"
"USW00014739","BOSTON, MA US","2016-04-05","29"
"USW00014739","BOSTON, MA US","2016-04-06","33"
"USW00014739","BOSTON, MA US","2016-04-07","49"
"USW00014739","BOSTON, MA US","2016-04-08","49"
"USW00014739","BOSTON, MA US","2016-04-09","39"
"USW00014739","BOSTON, MA US","2016-04-10","39"
"USW00014739","BOSTON, MA US","2016-04-11","48"
"USW00014739","BOSTON, MA US","2016-04-12","55"
"USW00014739","BOSTON, MA US","2016-04-13","45"
"USW00014739","BOSTON, MA US","2016-04-14","43"
"USW00014739","BOSTON, MA US","2016-04-15","45"
"USW00014739","BOSTON, MA US","2016-04-16","47"
"USW00014739","BOSTON, MA US","2016-04-17","46"
"USW00014739","BOSTON, MA US","2016-04-18","51"
"USW00014739","BOSTON, MA US","2016-04-19","47"
"USW00014739","BOSTON, MA US","2016-04-20","49"
"USW00014739","BOSTON, MA US","2016-04-21","55"
"USW00014739","BOSTON, MA US","2016-04-22","65"
"USW00014739","BOSTON, MA US","2016-04-23","60"
"USW00014739","BOSTON, MA US","2016-04-24","48"
"USW00014739","BOSTON, MA US","2016-04-25","48"
"USW00014739","BOSTON, MA US","2016-04-26","45"
"USW00014739","BOSTON, MA US","2016-04-27","45"
"USW00014739","BOSTON, MA US","2016-04-28","49"
"USW00014739","BOSTON, MA US","2016-04-29","47"
"USW00014739","BOSTON, MA US","2016-04-30","49"
"USW00014739","BOSTON, MA US","2016-05-01","48"
"USW00014739","BOSTON, MA US","2016-05-02","47"
"USW00014739","BOSTON, MA US","2016-05-03","47"
