AVILA RD,Vacant,3
AVON PL,Residential,6
AVON PL,Vacant,2
AVON ST,Public & Quasi-Public,1
AVON ST,Residential,4
AVON ST,Vacant,1
AVONDALE ST,Commercial,1
AVONDALE ST,Public & Quasi-Public,2
AVONDALE ST,Residential,13
AYLES RD,Residential,21
AYR RD,Residential,4
AYR RD,Residential (Mixed-Use),1
B ST,Commercial,5
B ST,Industrial,2
B ST,Public & Quasi-Public,1
B ST,Residential,6
B ST,Residential (Mixed-Use),2
B ST,Vacant,15
BABBITT ST,Public & Quasi-Public,3
BABCOCK ST,Public & Quasi-Public,2
BABSON ST,Commercial,2
BABSON ST,Public & Quasi-Public,7
BABSON ST,Residential,30
BABSON ST,Vacant,2
BACK ST,Public & Quasi-Public,1
BACK ST,Vacant,1
BADGER PL,Residential,2
BADGER PL,Vacant,2
BADGER RD,Residential,31
BAGNAL ST,Residential,5
BAILEY ST,Commercial,1
BAILEY ST,Residential,52
BAILEY ST,Vacant,2
BAIRD ST,Commercial,1
BAIRD ST,Public & Quasi-Public,1
BAIRD ST,Residential,14
BAIRD ST,Vacant,4
BAKER AV,Residential,5
BAKER AV,Vacant,2
BAKER CT,Residential,7
BAKER PL,Residential,7
BAKER PL,Vacant,2
BAKER ST,Commercial,5
BAKER ST,Industrial,1
BAKER ST,Public & Quasi-Public,15
BAKER ST,Residential,128
BAKER ST,Residential (Mixed-Use),1
BAKER ST,Vacant,12
BAKERS AL,Residential (Mixed-Use),1
BAKERSFIELD ST,Residential,14
BALDWIN PL,Commercial,2
BALDWIN PL,Residential,9
BALDWIN ST,Commercial,1
BALDWIN ST,Residential,52
BALDWIN ST,Vacant,5
BALFOUR ST,Commercial,1
BALFOUR ST,Residential,10
BALFOUR ST,Vacant,2
BALINA PL,Residential,2
BALINA PL,Vacant,1
BALL ST,Public & Quasi-Public,1
BALL ST,Residential,1
BALLARD ST,Residential,8
BALLARD WY,Residential,1
BALLIN PL,Vacant,1
BALLOU AV,Public & Quasi-Public,8
BALLOU AV,Residential,46
BALLOU AV,Vacant,15
BALLOU PL,Residential,1
BALMORAL PK,Residential,3
BALSAM ST,Public & Quasi-Public,3
BALSAM ST,Residential,14
BANCROFT ST,Residential,4
BANFIELD AV,Residential,14
BANFIELD AV,Vacant,1
BANGOR RD,Residential,9
BANKS ST,Residential,2
BANKS ST,Vacant,2
BANTON ST,Commercial,2
BANTON ST,Industrial,1
BANTON ST,Residential,4
BANTON ST,Vacant,1
BANTRY WY,Residential,6
BARBARA ST,Commercial,1
BARBARA ST,Residential,1
BARCLAY RD,Residential,10
BARD AV,Residential,1
BARD AV,Vacant,3
BARDWELL ST,Public & Quasi-Public,1
BARDWELL ST,Residential,15
BARDWELL ST,Vacant,1
BARKER ST,Residential,2
BARLOW ST,Public & Quasi-Public,4
BARLOW ST,Vacant,2
BARNA RD,Residential,14
BARNARD PL,Residential,12
BARNES AV,Public & Quasi-Public,2
