IPSWICH PL,Vacant,1
IPSWICH ST,Commercial,4
IPSWICH ST,Public & Quasi-Public,3
IPSWICH ST,Residential,1
IRENA RD,Residential,5
IRMA ST,Public & Quasi-Public,2
IRMA ST,Residential,13
IRMA ST,Vacant,1
IRON ST,Public & Quasi-Public,1
IROQUOIS ST,Public & Quasi-Public,2
IROQUOIS ST,Residential,19
IROQUOIS ST,Vacant,5
IRVING ST,Residential,20
IRWIN AV,Residential,4
IRWIN AV,Residential (Mixed-Use),4
ISABELLA ST,Commercial,1
ISABELLA ST,Residential,12
ISABELLA ST,Residential (Mixed-Use),1
ISLAND ST,Commercial,3
ISLAND ST,Vacant,4
ISLINGTON ST,Residential,7
ISLINGTON ST,Vacant,1
ISLINGTON TE,Public & Quasi-Public,1
ISLINGTON TE,Residential,5
ITASCA ST,Public & Quasi-Public,4
ITASCA ST,Residential,84
ITASCA ST,Vacant,17
IVES ST,Public & Quasi-Public,2
IVORY ST,Residential,14
JACKSON AV,Residential,3
JACKSON ST,Vacant,2
JACOB ST,Public & Quasi-Public,2
JACOB ST,Residential,42
JACQUELINE RD,Residential,8
JAEGER TE,Residential,4
JAEGER TE,Vacant,1
JALLEISON ST,Public & Quasi-Public,1
JALLEISON ST,Residential,1
JALLEISON ST,Vacant,2
JAMAICA PL,Residential,2
JAMAICA ST,Public & Quasi-Public,1
JAMAICA ST,Residential,44
JAMAICA ST,Vacant,3
JAMAICAWAY CT,Residential,7
JAMAICAWAY ST,Public & Quasi-Public,4
JAMAICAWAY ST,Residential,11
JAMES ONEILL ST,Public & Quasi-Public,2
JAMESTOWN TE,Residential,5
JARVIS PL,Residential,5
JARVIS PL,Vacant,3
JASON TE,Residential,4
JEANNE DR,Public & Quasi-Public,1
JEANNE DR,Vacant,1
JEFFERS ST,Residential,9
JEFFERS ST,Vacant,4
JEFFERSON AV,Residential,1
JEFFERSON ST,Residential,2
JEFFRIES ST,Commercial,1
JEFFRIES ST,Industrial,1
JEFFRIES ST,Public & Quasi-Public,1
JEFFRIES ST,Residential,18
JEFFRIES ST,Vacant,2
JENKINS ST,Residential,19
JENKINS ST,Residential (Mixed-Use),1
JENKINS ST,Vacant,3
JENNER ST,Vacant,1
JENNETT AV,Residential,3
JENNETT AV,Vacant,1
JEROME ST,Public & Quasi-Public,1
JEROME ST,Residential,6
JERSEY ST,Commercial,9
JERSEY ST,Residential,3
JERUSALEM PL,Residential,1
JERUSALEM PL,Residential (Mixed-Use),1
JERUSALEM PL,Vacant,1
JESHURUN RD,Public & Quasi-Public,11
JESS ST,Residential,7
JESS ST,Residential (Mixed-Use),2
JESS ST,Vacant,1
JETTE CT,Public & Quasi-Public,4
JEWETT ST,Residential,14
JEWETT ST,Vacant,2
JFK EXPRESS WY,Public & Quasi-Public,2
JFK EXPRESS WY,Vacant,2
JIMMY FUND WY,Public & Quasi-Public,2
JOAN RD,Residential,18
JOANNE TE,Residential,6
JOHN A ANDREW ST,Residential,10
JOHN ALDEN RD,Residential,8
JOHN ALDEN RD,Vacant,1
JOHN ELIOT SQ,Commercial,1
JOHN ELIOT SQ,Public & Quasi-Public,1
JOHN ELIOT SQ,Residential (Mixed-Use),2
JOHN ELIOT SQ,Vacant,1
JOHNNY CT,Residential,8
JOHNNY CT,Residential (Mixed-Use),1
JOHNRAY RD,Vacant,1
JOHNSON AV,Residential,1
JOHNSON ST,Residential,34
JOHNSON ST,Vacant,5
JOHNSON TE,Residential,4
JOHNSON TE,Vacant,2
JOHNSTON RD,Residential,25
JOHNSTON RD,Vacant,4
JOHNSWOOD RD,Public & Quasi-Public,2
JOHNSWOOD RD,Residential,41
JOHNSWOOD RD,Vacant,1
JONES AV,Public & Quasi-Public,4
JONES AV,Residential,22
JONES AV,Vacant,7
JORDAN RD,Residential,1
JOSEPH AGRI ST,Public & Quasi-Public,1
JOSEPH ST,Residential,6
JOSEPHINE ST,Public & Quasi-Public,2
JOSEPHINE ST,Residential,20
JOSEPHINE ST,Vacant,4
JOY PL,Public & Quasi-Public,1
JOY ST,Commercial,5
JOY ST,Public & Quasi-Public,2
JOY ST,Residential,34
JOY ST,Residential (Mixed-Use),1
JOYCE KILMER RD,Residential,34
JOYCE KILMER RD,Vacant,2
JOYCE RD,Residential,12
JUDGE ST,Residential,3
JUDSON ST,Public & Quasi-Public,9
JUDSON ST,Residential,7
JUDSON ST,Vacant,6
JULIAN ST,Public & Quasi-Public,4
JULIAN ST,Residential,29
JULIAN ST,Vacant,15
JULIETTE ST,Public & Quasi-Public,1
JULIETTE ST,Residential,14
JUNE ST,Residential,12
JUNE ST,Vacant,1
JUNIPER ST,Residential,14
JUNIPER ST,Vacant,5
JUNIPER TE,Public & Quasi-Public,2
JUNIPER TE,Residential,1
JUNIPER TE,Vacant,1
JUSTIN RD,Residential,10
K ST,Commercial,3
K ST,Residential,104
K ST,Residential (Mixed-Use),1
K ST,Vacant,4
K STREET PL,Residential,2
KALADA PK,Residential,1
KALADA PK,Vacant,1
KANE ST,Residential,2
KANE ST,Vacant,2
KARDON RD,Residential,11
KARDON RD,Vacant,1
KAVANAUGH WY,Commercial,1
KAVANAUGH WY,Residential,2
KEANE RD,Residential,18
KEANE RD,Vacant,3
KEARSARGE AV,Public & Quasi-Public,5
KEARSARGE AV,Residential,2
KEARSARGE TE,Vacant,1
KEEGAN ST,Public & Quasi-Public,1
KEENAN RD,Residential,7
KEITH ST,Residential,27
KELLEY CT,Residential,9
KELLEY CT,Vacant,3
KELLYS BLOCK ,Residential,1
KELTON ST,Commercial,1
KELTON ST,Public & Quasi-Public,5
KELTON ST,Residential,23
KEMBLE PL,Residential,4
KEMBLE PL,Vacant,3
KEMBLE ST,Commercial,5
KEMBLE ST,Industrial,2
KEMBLE ST,Vacant,1
KEMP ST,Public & Quasi-Public,2
KEMP ST,Residential,3
KENBERMA RD,Residential,13
KENBERMA RD,Vacant,1
KENDALL ST,Residential (Mixed-Use),1
KENILWORTH ST,Public & Quasi-Public,4
KENILWORTH ST,Residential,12
KENILWORTH ST,Vacant,3
KENMARE RD,Vacant,1
KENNEBEC ST,Public & Quasi-Public,20
KENNEBEC ST,Residential,39
KENNEBEC ST,Vacant,12
KENNETH ST,Residential,17
KENNEY ST,Residential,11
KENNEY ST,Vacant,1
KENRICK ST,Residential,43
KENSINGTON PK,Residential,1
KENSINGTON ST,Public & Quasi-Public,1
KENSINGTON ST,Residential,6
KENTON RD,Commercial,2
KENTON RD,Residential,15
KENTON RD,Vacant,1
KENWOOD ST,Residential,36
KERNA RD,Residential,12
KERNA RD,Vacant,2
KERR PL,Residential,1
KERR WY,Public & Quasi-Public,1
KERSHAW RD,Residential,8
KERSHAW RD,Vacant,3
KERWIN ST,Residential,19
KERWIN ST,Vacant,3
KESWICK ST,Residential,9
KEVIN RD,Residential,7
KEYES STREET PL,Vacant,1
KEYSTONE ST,Residential,50
KEYSTONE ST,Vacant,7
KIERNAN RD,Residential,7
KILBY ST,Commercial,3
KILMARNOCK ST,Commercial,4
KILMARNOCK ST,Residential (Mixed-Use),1
KILSYTH RD,Residential,18
KILSYTH RD,Vacant,1
KILSYTH TE,Residential,3
KIMBALL ST,Commercial,2
KIMBALL ST,Residential,9
KIMBALL ST,Vacant,12
KINEO ST,Residential,4
KINEO ST,Vacant,1
KING ST,Commercial,3
KING ST,Public & Quasi-Public,1
KING ST,Residential,65
KING ST,Vacant,1
KINGBIRD RD,Residential,3
KINGSBORO PK,Public & Quasi-Public,1
KINGSBORO PK,Residential,10
KINGSBORO PK,Vacant,1
KINGSDALE ST,Public & Quasi-Public,1
KINGSDALE ST,Residential,29
KINGSDALE ST,Residential (Mixed-Use),7
KINGSDALE ST,Vacant,1
KINGSLAND RD,Residential,15
KINGSLEY ST,Residential,6
KINGSTON ST,Commercial,3
KINGSTON ST,Public & Quasi-Public,2
KINGSTON ST,Residential (Mixed-Use),1
KINROSS RD,Residential,4
KIRK ST,Residential,7
KIRKWOOD RD,Public & Quasi-Public,1
KIRKWOOD RD,Residential,20
KITTREDGE CT,Residential,6
KITTREDGE ST,Public & Quasi-Public,1
KITTREDGE ST,Residential,77
KITTREDGE ST,Vacant,2
KITTREDGE TE,Residential,1
KNAPP ST,Commercial,4
KNAPP ST,Residential,1
KNEELAND ST,Commercial,13
KNEELAND ST,Industrial,1
KNEELAND ST,Public & Quasi-Public,6
KNEELAND ST,Vacant,5
KNIGHT ST,Public & Quasi-Public,1
KNIGHT ST,Residential,3
KNOLL ST,Residential,41
KNOLL ST,Vacant,2
KNOWLES ST,Public & Quasi-Public,1
KNOWLTON ST,Residential,7
KNOX ST,Residential,3
KOVEY CT,Residential,6
KOVEY RD,Public & Quasi-Public,1
KOVEY RD,Residential,16
KOVEY RD,Vacant,1
KRESSON TE,Vacant,1
KRISTIN CT,Residential,4
L ST,Commercial,5
L ST,Industrial,1
L ST,Public & Quasi-Public,1
L ST,Residential,61
L ST,Residential (Mixed-Use),5
L ST,Vacant,1
LABAN PRATT RD,Residential,10
LACONIA ST,Commercial,1
LAFIELD ST,Residential,8
LAGRANGE PL,Residential,3
LAGRANGE PL,Vacant,2
LAGRANGE ST,Commercial,6
LAGRANGE ST,Industrial,1
LAGRANGE ST,Public & Quasi-Public,5
LAGRANGE ST,Residential,222
LAGRANGE ST,Vacant,18
LAKE SHORE RD,Public & Quasi-Public,3
LAKE SHORE RD,Residential,17
LAKE ST,Commercial,1
LAKE ST,Public & Quasi-Public,4
LAKE ST,Residential,52
LAKE ST,Vacant,3
LAKESIDE AV,Commercial,1
LAKESIDE AV,Residential,4
LAKESIDE AV,Vacant,1
LAKEVILLE RD,Residential,5
LAMARTINE CT,Public & Quasi-Public,1
LAMARTINE PL,Residential,3
LAMARTINE ST,Commercial,1
LAMARTINE ST,Public & Quasi-Public,8
LAMARTINE ST,Residential,40
LAMARTINE ST,Vacant,18
LAMARTINE TE,Residential,2
LAMARTINE TE,Vacant,1
LAMBERT AV,Commercial,1
LAMBERT AV,Public & Quasi-Public,4
LAMBERT AV,Residential,12
LAMBERT AV,Vacant,4
LAMBERT ST,Public & Quasi-Public,1
LAMBERT ST,Residential,10
LAMBERT ST,Vacant,7
LAMSON CT,Residential,9
LAMSON CT,Vacant,2
LAMSON ST,Public & Quasi-Public,2
LAMSON ST,Residential,8
LAMSON ST,Vacant,2
LANARK RD,Residential,18
LANCASTER ST,Commercial,6
LANDOR RD,Public & Quasi-Public,1
LANDOR RD,Residential,7
LANDSEER ST,Commercial,1
LANDSEER ST,Residential,52
LANDSEER ST,Vacant,2
LANDSEER TE,Residential,1
LANE PK,Residential,24
LANESVILLE TE,Vacant,5
LANGDON ST,Commercial,3
LANGDON ST,Public & Quasi-Public,3
LANGDON ST,Residential,18
LANGDON ST,Vacant,13
LANGFORD PK,Public & Quasi-Public,2
LANGFORD PK,Residential,1
LANGFORD PK,Vacant,2
LANGLEY RD,Residential,44
LANGLEY RD,Vacant,1
LANSDOWNE ST,Commercial,7
LANTERN LA,Residential,8
LARCH PL,Residential,2
LARCH PL,Vacant,1
LARCH ST,Residential,23
LARCH ST,Vacant,2
LARCHMONT ST,Public & Quasi-Public,1
LARCHMONT ST,Residential,33
LAREDO ST,Public & Quasi-Public,8
LAREDO ST,Residential,1
LARK ST,Public & Quasi-Public,3
LARK ST,Residential,3
LARK ST,Vacant,1
LARKHILL RD,Residential,11
LARKHILL RD,Vacant,1
LAROSE PL,Residential,9
LAROSE PL,Vacant,1
LASELL ST,Residential,73
LASELL ST,Vacant,2
LATIN RD,Public & Quasi-Public,2
LATIN RD,Residential,9
LAUREL AV,Public & Quasi-Public,4
LAUREL AV,Residential,2
LAUREL AV,Vacant,3
LAUREL ST,Public & Quasi-Public,1
LAUREL ST,Residential,15
LAUREL ST,Vacant,1
LAURIAT ST,Residential,7
LAURIAT ST,Vacant,3
LAURIE AV,Residential,54
LAURIE AV,Vacant,6
LAUTEN PL,Residential,4
LAUTEN PL,Vacant,3
LAVAL ST,Residential,13
LAWLEY ST,Commercial,1
LAWLEY ST,Public & Quasi-Public,1
LAWLEY ST,Residential,17
LAWLEY ST,Vacant,1
LAWN AV,Residential,4
LAWN ST,Public & Quasi-Public,1
LAWN ST,Residential,17
LAWN ST,Vacant,2
LAWNDALE TE,Public & Quasi-Public,4
LAWNDALE TE,Residential,1
LAWNDALE TE,Vacant,3
LAWNWOOD PL,Residential,8
LAWNWOOD PL,Vacant,1
LAWRENCE AV,Public & Quasi-Public,7
LAWRENCE AV,Residential,43
LAWRENCE AV,Vacant,6
LAWRENCE CT,Vacant,2
LAWRENCE PL,Residential,4
LAWRENCE ST,Residential,42
LAWRENCE ST,Vacant,3
LAWSON PL,Public & Quasi-Public,1
LAWSON PL,Residential,3
LAWSON PL,Vacant,2
LAWTON ST,Residential,12
LAWTON ST,Vacant,1
LAWTON TE,Residential,8
LEAHAVEN RD,Residential,11
LEAMINGTON RD,Residential,26
LEDGE HILL RD,Commercial,1
LEDGE HILL RD,Public & Quasi-Public,1
LEDGE HILL RD,Residential,22
LEDGE HILL RD,Vacant,1
LEDGEBROOK RD,Residential,10
LEDGEDALE RD,Residential,6
LEDGEDALE RD,Vacant,1
LEDGEMERE RD,Residential,1
LEDGEWOOD RD,Residential,8
LEE HILL RD,Residential,9
LEE ST,Residential,10
LEE ST,Vacant,1
LEEDS ST,Residential,8
LEEDSVILLE ST,Residential,13
LEEDSVILLE ST,Vacant,3
LEFEVRE ST,Vacant,3
LEGENDS WY,Commercial,1
LEGION PL,Residential,2
LEICESTER ST,Public & Quasi-Public,2
LEICESTER ST,Residential,29
LEIGHTON RD,Residential,56
LEIGHTON RD,Vacant,3
LELAND RD,Residential,11
LELAND RD,Vacant,4
LELAND ST,Public & Quasi-Public,3
LELAND ST,Residential,3
LELAND ST,Vacant,4
LENA TE,Residential,1
LENA TE,Vacant,1
LENISTON ST,Residential,16
LENNOCO RD,Public & Quasi-Public,1
LENNOCO RD,Residential,5
LENOX ST,Commercial,1
LENOX ST,Public & Quasi-Public,14
LENOX ST,Vacant,3
LENOXDALE AV,Residential,34
LENOXDALE AV,Vacant,1
LEO M BIRMINGHAM PW,Commercial,7
LEO M BIRMINGHAM PW,Industrial,1
LEO M BIRMINGHAM PW,Public & Quasi-Public,3
LEO M BIRMINGHAM PW,Residential,1
LEON ST,Public & Quasi-Public,1
LEONARD CT,Residential,2
LEONARD CT,Vacant,1
LEONARD PL,Residential,1
LEONARD ST,Public & Quasi-Public,2
LEONARD ST,Residential,32
LEONARD ST,Vacant,1
LEROY ST,Residential,28
LEROY ST,Vacant,1
LESEUR RD,Residential,6
LESHER ST,Commercial,1
LESHER ST,Residential,7
LESLIE PK,Residential,3
LESLIE ST,Residential,10
LESTER PL,Residential,4
LESTER ST,Vacant,1
LESTON ST,Public & Quasi-Public,2
LESTON ST,Residential,15
LESTON ST,Vacant,3
LETTERFINE TE,Public & Quasi-Public,7
LEVANT ST,Residential,19
LEVANT ST,Vacant,3
LEVERETT AV,Residential,3
LEVERETT CI,Vacant,1
LEVERETT ST,Public & Quasi-Public,1
LEWIS PL,Public & Quasi-Public,3
LEWIS PL,Residential,1
LEWIS ST,Public & Quasi-Public,3
LEWIS ST,Residential,6
LEWIS ST,Residential (Mixed-Use),2
LEWIS ST,Vacant,1
LEWIS WH,Commercial,1
LEWIS WH,Vacant,1
LEWISTON ST,Residential,47
LEWISTON ST,Vacant,1
LEXINGTON AV,Residential,50
LEXINGTON AV,Vacant,7
LEXINGTON PL,Residential,1
LEXINGTON PL,Vacant,2
LEXINGTON SQ,Residential,2
LEXINGTON ST,Commercial,2
LEXINGTON ST,Public & Quasi-Public,2
LEXINGTON ST,Residential,209
LEXINGTON ST,Residential (Mixed-Use),1
LEXINGTON ST,Vacant,4
LEYDEN ST,Commercial,2
LEYDEN ST,Residential,98
LEYDEN ST,Vacant,2
LEYLAND ST,Public & Quasi-Public,8
LEYLAND ST,Residential,17
LEYLAND ST,Vacant,7
LIBBEY ST,Residential,11
LIBBEY ST,Vacant,1
LIBERTY DR,Residential (Mixed-Use),1
LIBERTY PL,Residential,1
LIBERTY SQ,Commercial,2
LILA RD,Residential,19
LILA RD,Vacant,4
LILAC TE,Residential,4
LILLIAN ST,Residential,1
LILLIE WY,Residential,2
LILLY ST,Residential,3
LIME ST,Residential,17
LINCOLN PL,Residential,2
LINCOLN ST,Commercial,29
LINCOLN ST,Industrial,8
LINCOLN ST,Public & Quasi-Public,2
LINCOLN ST,Residential,50
LINCOLN ST,Vacant,5
LINDALL PL,Public & Quasi-Public,1
LINDALL PL,Residential,4
LINDALL ST,Residential,14
LINDEN AV,Residential,5
LINDEN AV,Vacant,1
LINDEN CT,Vacant,1
LINDEN PARK ST,Vacant,1
LINDEN RD,Public & Quasi-Public,24
LINDEN RD,Residential,16
LINDEN RD,Vacant,17
LINDEN ST,Commercial,5
LINDEN ST,Industrial,1
LINDEN ST,Public & Quasi-Public,1
LINDEN ST,Residential,76
LINDEN ST,Residential (Mixed-Use),1
LINDEN ST,Vacant,5
LINDSEY ST,Residential,37
LINDSEY ST,Vacant,3
LINGARD ST,Residential,2
LINLEY TE,Residential,6
LINNET ST,Residential,18
LINVALE TE,Public & Quasi-Public,2
LINVALE TE,Residential,9
LINVALE TE,Vacant,2
LINWOOD SQ,Residential,14
LINWOOD SQ,Vacant,1
LINWOOD ST,Public & Quasi-Public,12
LINWOOD ST,Residential,34
LINWOOD ST,Vacant,3
LISZT ST,Residential,13
LISZT ST,Vacant,2
LITCHFIELD ST,Public & Quasi-Public,1
LITCHFIELD ST,Residential,46
LITHGOW ST,Residential,23
LITHGOW ST,Vacant,1
LITTLEDALE ST,Residential,8
LIVERMORE ST,Public & Quasi-Public,6
LIVERMORE ST,Residential,4
LIVERMORE ST,Vacant,6
LIVERPOOL ST,Commercial,9
LIVERPOOL ST,Public & Quasi-Public,2
LIVERPOOL ST,Residential,16
LIVERPOOL ST,Residential (Mixed-Use),1
LIVERPOOL ST,Vacant,4
LIVINGSTONE ST,Commercial,2
LIVINGSTONE ST,Residential,2
LIVINGSTONE ST,Vacant,1
LOCHDALE RD,Commercial,1
LOCHDALE RD,Vacant,1
LOCHLAND RD,Public & Quasi-Public,1
LOCHLAND RD,Residential,12
LOCHSTEAD AV,Residential,19
LOCKE PL,Residential,2
LOCKSLEY ST,Residential,1
LOCKWOOD ST,Residential,8
LOCUST ST,Public & Quasi-Public,1
LOCUST ST,Residential,5
LOCUST ST,Vacant,5
LODGEHILL RD,Residential,29
LODGEHILL RD,Vacant,2
LOGAN ST,Public & Quasi-Public,1
LOGAN ST,Residential,9
LOGAN WY,Residential,2
LOMASNEY WY,Commercial,1
LOMASNEY WY,Public & Quasi-Public,2
LOMBARD ST,Residential,10
LONDON CT,Residential,2
LONDON ST,Commercial,3
LONDON ST,Public & Quasi-Public,12
LONDON ST,Residential,68
LONDON ST,Residential (Mixed-Use),5
LONDON ST,Vacant,3
LONG AV,Residential,21
LONG ISLAND ,Public & Quasi-Public,1
LONG ISLAND ,Vacant,1
LONG TE,Residential,1
LONG TE,Vacant,2
LONG WH,Commercial,12
LONGFELLOW PL,Residential (Mixed-Use),1
LONGFELLOW ST,Residential,41
LONGFELLOW ST,Vacant,1
LONGMEADOW ST,Residential,8
LONGMEADOW ST,Vacant,1
LONGWOOD AV,Commercial,2
LONGWOOD AV,Public & Quasi-Public,15
LONSDALE ST,Residential,61
LONSDALE ST,Vacant,1
LORENE RD,Public & Quasi-Public,1
LORENE RD,Vacant,1
LORENZO ST,Residential,17
LORETTE ST,Residential,17
LORING PL,Residential,6
LORING PL,Vacant,1
LORING ST,Residential,55
LORING ST,Vacant,2
LORNA RD,Residential,55
LORNA RD,Vacant,5
LORNE ST,Public & Quasi-Public,4
LORNE ST,Residential,14
LORNE ST,Residential (Mixed-Use),5
LORRAINE ST,Residential,27
LORRAINE TE,Residential,3
LOTHIAN RD,Residential,5
LOTHROP PL,Public & Quasi-Public,2
LOTHROP PL,Residential,1
LOTHROP ST,Residential,5
LOTUS ST,Residential,1
LOTUS ST,Vacant,7
LOUDERS LA,Public & Quasi-Public,1
LOUDERS LA,Residential,38
LOUDERS LA,Vacant,4
LOUDERS LN,Vacant,1
LOUIS D BROWN WY,Residential,6
LOUIS PRANG ST,Public & Quasi-Public,9
LOUIS TE,Vacant,1
LOUISBURG SQ,Residential,18
LOURDES AV,Residential,5
LOVELL ST,Public & Quasi-Public,13
LOVELLS ISLAND ,Public & Quasi-Public,4
LOVIS ST,Residential,7
LOVIS ST,Vacant,1
LOWLAND PL,Vacant,2
LOWNEY WY,Commercial,1
LOYOLA CI,Residential,15
LUBEC ST,Commercial,2
LUBEC ST,Public & Quasi-Public,2
LUBEC ST,Residential,15
LUBEC ST,Vacant,1
LUCERNE ST,Public & Quasi-Public,8
LUCERNE ST,Residential,21
LUCERNE ST,Residential (Mixed-Use),3
LUCERNE ST,Vacant,3
LUDLOW ST,Public & Quasi-Public,1
LUDLOW ST,Residential,12
LYALL ST,Public & Quasi-Public,1
LYALL ST,Residential,17
LYALL TE,Residential,3
LYFORD ST,Public & Quasi-Public,1
LYFORD ST,Residential,4
LYFORD ST,Vacant,1
LYNDE ST,Public & Quasi-Public,1
LYNDE ST,Vacant,1
LYNDEBORO PL,Public & Quasi-Public,3
LYNDEBORO PL,Residential,4
LYNDEBORO ST,Residential,11
LYNDHURST ST,Public & Quasi-Public,2
LYNDHURST ST,Residential,35
LYNDHURST ST,Vacant,2
LYNE RD,Public & Quasi-Public,1
LYNE RD,Residential,6
LYNN ST,Residential (Mixed-Use),1
LYNNVILLE TE,Residential,3
LYNNVILLE TE,Vacant,1
LYON ST,Commercial,1
LYON ST,Public & Quasi-Public,1
LYON ST,Residential,26
LYON ST,Vacant,4
M ST,Public & Quasi-Public,1
M ST,Residential,75
M ST,Vacant,1
M STREET PL,Residential,4
M STREET PL,Vacant,2
MACDONALD ST,Residential,14
MACKIN ST,Residential,3
MACNEIL WY,Public & Quasi-Public,1
MACULLAR RD,Residential,3
MACULLAR RD,Vacant,1
MADELINE ST,Residential,12
MADISON ST,Residential,3
MADISON ST,Vacant,2
MAFFA WY,Public & Quasi-Public,2
MAGAZINE ST,Commercial,2
MAGAZINE ST,Industrial,3
MAGAZINE ST,Public & Quasi-Public,9
MAGAZINE ST,Residential,14
MAGAZINE ST,Vacant,5
MAGDALA ST,Residential,19
MAGDALA ST,Vacant,1
MAGEE ST,Residential,16
MAGNOLIA PL,Residential,3
MAGNOLIA PL,Vacant,2
MAGNOLIA SQ,Residential,7
MAGNOLIA SQ,Vacant,2
MAGNOLIA ST,Commercial,1
MAGNOLIA ST,Public & Quasi-Public,19
MAGNOLIA ST,Residential,80
MAGNOLIA ST,Residential (Mixed-Use),1
MAGNOLIA ST,Vacant,5
MAHLER RD,Commercial,1
MAHLER RD,Public & Quasi-Public,2
MAIDA TE,Residential,4
MAIN ST,Commercial,20
MAIN ST,Public & Quasi-Public,19
MAIN ST,Residential,56
MAIN ST,Residential (Mixed-Use),15
MAIN ST,Vacant,6
MAITLAND ST,Commercial,2
MAITLAND ST,Public & Quasi-Public,1
MAITLAND ST,Vacant,1
MALBERT RD,Residential,6
MALBERT RD,Vacant,2
MALBON PL,Public & Quasi-Public,1
MALCOLM RD,Public & Quasi-Public,1
MALCOLM RD,Residential,30
MALCOLM RD,Vacant,4
MALCOLM X BL,Commercial,1
MALCOLM X BL,Public & Quasi-Public,9
MALCOLM X BL,Vacant,2
MALDEN ST,Commercial,1
MALDEN ST,Public & Quasi-Public,1
MALDEN ST,Residential (Mixed-Use),1
MALIA TE,Vacant,1
MALLARD AV,Residential,5
MALLARD AV,Residential (Mixed-Use),2
MALLARD AV,Vacant,4
MALLET ST,Residential,22
MALLET ST,Vacant,1
MALLON RD,Public & Quasi-Public,1
MALLON RD,Residential,16
MALTA ST,Residential,13
MALTA ST,Vacant,5
MALVERN ST,Commercial,1
MALVERN ST,Residential,1
MALVERNA RD,Residential,8
MAMELON CI,Residential,13
MANCHESTER ST,Residential,38
MANCHESTER ST,Vacant,2
MANILA AV,Public & Quasi-Public,13
MANILA AV,Residential,13
MANION RD,Residential,15
MANLEY ST,Residential,5
MANN ST,Residential,5
MANN ST,Vacant,1
MANNING ST,Residential,28
MANNING ST,Vacant,2
MANOR ST,Residential,25
MANOR ST,Vacant,1
MANSEN CT,Residential,4
MANSFIELD ST,Residential,29
MANSFIELD ST,Vacant,2
MANSUR ST,Residential,15
MANTHORNE RD,Residential,107
MANTHORNE RD,Vacant,3
MANTON TE,Residential,2
MAPES ST,Industrial,1
MAPES ST,Vacant,1
MAPLE CT,Residential,1
MAPLE LA,Residential,4
MAPLE LEAF DR,Residential,19
MAPLE LEAF DR,Vacant,3
MAPLE PL,Residential,5
MAPLE ST,Commercial,1
MAPLE ST,Public & Quasi-Public,6
MAPLE ST,Residential,134
MAPLE ST,Vacant,6
MAPLE TE,Residential,5
MAPLETON ST,Commercial,1
MAPLETON ST,Public & Quasi-Public,1
MAPLETON ST,Residential,37
MAPLEWOOD ST,Public & Quasi-Public,1
MAPLEWOOD ST,Residential,32
MAPLEWOOD ST,Vacant,2
MARBURY TE,Public & Quasi-Public,1
MARBURY TE,Residential,2
MARCELLA ST,Public & Quasi-Public,22
MARCELLA ST,Residential,43
MARCELLA ST,Residential (Mixed-Use),1
MARCELLA ST,Vacant,9
MARCH AV,Public & Quasi-Public,1
MARCH AV,Residential,8
MARCH AV,Vacant,1
MARCH TE,Residential,2
MARCH WY,Residential,2
MARCY RD,Residential,12
MARDEN AV,Residential,5
MARDEN AV,Vacant,1
MARGARET ST,Residential,12
MARGARET ST,Residential (Mixed-Use),2
MARGIN ST,Residential,3
MARGIN ST,Vacant,4
MARGINAL ST,Commercial,2
MARGINAL ST,Public & Quasi-Public,29
MARGINAL ST,Residential,18
MARGINAL ST,Residential (Mixed-Use),4
MARGINAL ST,Vacant,17
MARGO RD,Residential,24
MARIA LA,Residential,10
MARIA LA,Vacant,1
MARIE ST,Residential,5
MARINA PARK DR,Commercial,1
MARINE RD,Residential,50
MARINE RD,Vacant,1
MARION PL,Residential,9
MARION ST,Commercial,4
MARION ST,Public & Quasi-Public,4
MARION ST,Residential,100
MARION ST,Residential (Mixed-Use),4
MARION ST,Vacant,9
MARIPOSA ST,Residential,36
MARIPOSA ST,Vacant,5
MARK ST,Residential,8
MARKET ST,Commercial,17
MARKET ST,Public & Quasi-Public,7
MARKET ST,Residential,33
MARKET ST,Residential (Mixed-Use),1
MARKET ST,Vacant,1
MARLBOROUGH ST,Commercial,2
MARLBOROUGH ST,Public & Quasi-Public,8
MARLBOROUGH ST,Residential,127
MARLBOROUGH ST,Residential (Mixed-Use),2
MARLBOROUGH ST,Vacant,1
MARLIN RD,Residential,10
MARLIN WY,Residential,7
MARLOU TE,Residential,1
MARLOWE ST,Residential,7
MARMION ST,Public & Quasi-Public,1
MARMION ST,Residential,13
MARMION ST,Vacant,3
MARSH ST,Commercial,3
MARSH ST,Residential,7
MARSH ST,Residential (Mixed-Use),1
MARSH ST,Vacant,1
MARSHALL BLOCK ,Residential,2
MARSHALL PL,Residential,3
MARSHALL PL,Vacant,2
MARSHALL ST,Commercial,2
MARSHALL ST,Residential (Mixed-Use),1
MARSHFIELD ST,Public & Quasi-Public,5
MARSHFIELD ST,Residential,19
MARSHFIELD ST,Vacant,6
MARSTON ST,Public & Quasi-Public,2
MARSTON ST,Residential,1
MARTHA RD,Public & Quasi-Public,3
MARTHA RD,Residential,1
MARTIN LUTHER KING JR BL,Commercial,1
MARTIN LUTHER KING JR BL,Public & Quasi-Public,4
MARTIN LUTHER KING JR BL,Residential,10
MARTIN ST,Residential,33
MARTIN ST,Vacant,1
MARTINWOOD RD,Residential,10
