st_loc,ptype,0
ALLEYNE ST,104.0,1
ALLEYNE ST,105.0,1
ALLEYNE ST,106.0,3
ALLEYNE ST,130.0,1
ALLEYNE ST,132.0,4
ALLSTATE RD,321.0,2
ALLSTATE RD,322.0,2
ALLSTATE RD,390.0,1
ALLSTATE RD,440.0,1
ALLSTON ST,101.0,27
ALLSTON ST,104.0,33
ALLSTON ST,105.0,21
ALLSTON ST,106.0,1
ALLSTON ST,111.0,6
ALLSTON ST,112.0,6
ALLSTON ST,117.0,1
ALLSTON ST,130.0,5
ALLSTON ST,132.0,2
ALLSTON ST,319.0,1
ALLSTON ST,907.0,1
ALLSTON ST,985.0,2
ALMONT ST,101.0,44
ALMONT ST,104.0,18
ALMONT ST,105.0,6
ALMONT ST,112.0,2
ALMONT ST,132.0,8
ALMONT ST,985.0,1
ALNA PL,101.0,1
ALNA PL,106.0,1
ALNA PL,132.0,1
ALPHA RD,101.0,8
ALPHA RD,104.0,7
ALPHA RD,105.0,13
ALPHA RD,132.0,4
ALPHA RD,985.0,1
ALPHEUS RD,101.0,17
ALPHEUS RD,104.0,9
ALPINE PL,101.0,2
ALPINE PL,908.0,2
ALPINE ST,101.0,2
ALPINE ST,104.0,3
ALPINE ST,105.0,11
ALPINE ST,106.0,1
ALPINE ST,130.0,1
ALPINE ST,132.0,7
ALPINE ST,902.0,2
ALPINE ST,903.0,2
ALPINE ST,908.0,2
ALPINE WY,132.0,2
ALTACREST RD,101.0,6
ALTACREST RD,106.0,1
ALTAIR RD,101.0,2
ALTAIR RD,132.0,8
ALTHEA ST,105.0,6
ALTHER ST,112.0,1
ALTHER ST,390.0,1
ALVAH KITTREDGE PK,101.0,1
ALVAH KITTREDGE PK,104.0,3
ALVAH KITTREDGE PK,105.0,1
ALVAH KITTREDGE PK,901.0,2
ALVAN TE,105.0,4
ALVARADO AV,101.0,4
ALVARADO AV,104.0,3
ALVARADO AV,132.0,1
ALVESTON ST,101.0,6
ALVESTON ST,104.0,5
ALVESTON ST,105.0,3
ALVESTON ST,132.0,1
ALVESTON TE,101.0,1
ALWARD RD,101.0,6
ALWIN ST,101.0,23
AMBOY ST,101.0,3
AMBOY ST,104.0,1
AMBROSE ST,907.0,1
AMBROSE ST,986.0,1
AMERICAN LEGION HW,13.0,4
AMERICAN LEGION HW,25.0,1
AMERICAN LEGION HW,31.0,1
AMERICAN LEGION HW,101.0,20
AMERICAN LEGION HW,104.0,4
AMERICAN LEGION HW,105.0,7
AMERICAN LEGION HW,112.0,2
AMERICAN LEGION HW,125.0,5
AMERICAN LEGION HW,130.0,4
AMERICAN LEGION HW,132.0,5
AMERICAN LEGION HW,319.0,1
AMERICAN LEGION HW,320.0,1
AMERICAN LEGION HW,321.0,1
AMERICAN LEGION HW,324.0,1
AMERICAN LEGION HW,325.0,3
AMERICAN LEGION HW,328.0,3
AMERICAN LEGION HW,332.0,2
AMERICAN LEGION HW,334.0,1
AMERICAN LEGION HW,335.0,1
AMERICAN LEGION HW,337.0,3
AMERICAN LEGION HW,355.0,1
AMERICAN LEGION HW,390.0,1
AMERICAN LEGION HW,391.0,1
AMERICAN LEGION HW,902.0,1
AMERICAN LEGION HW,976.0,2
AMERICAN LEGION HW,983.0,1
AMERICAN LEGION HW,985.0,6
AMERICAN LEGION HW,986.0,2
AMESBURY ST,101.0,8
AMHERST ST,101.0,2
AMHERST ST,104.0,6
AMHERST ST,105.0,4
AMHERST ST,111.0,1
AMORET RD,132.0,3
AMORY AV,125.0,1
AMORY AV,907.0,2
AMORY AV,908.0,1
AMORY AV,986.0,1
AMORY ST,13.0,1
AMORY ST,25.0,1
AMORY ST,31.0,1
AMORY ST,101.0,9
AMORY ST,104.0,10
AMORY ST,105.0,6
AMORY ST,106.0,1
AMORY ST,111.0,1
AMORY ST,112.0,2
AMORY ST,121.0,1
AMORY ST,132.0,3
AMORY ST,316.0,1
AMORY ST,317.0,3
AMORY ST,320.0,1
AMORY ST,337.0,2
AMORY ST,343.0,1
AMORY ST,344.0,1
AMORY ST,387.0,1
AMORY ST,390.0,5
AMORY ST,391.0,6
AMORY ST,392.0,1
AMORY ST,402.0,1
AMORY ST,404.0,1
AMORY ST,405.0,1
AMORY ST,413.0,1
AMORY ST,424.0,1
AMORY ST,902.0,1
AMORY ST,908.0,1
AMORY ST,952.0,1
AMORY ST,985.0,8
AMORY ST,986.0,2
ANAWAN AV,101.0,28
ANAWAN AV,104.0,2
ANAWAN AV,132.0,3
