st_loc,building_typology,0
ALLANDALE ST,Vacant,3
ALLEGHANY ST,Convention/Assembly,2
ALLEGHANY ST,Multi-Family (2 units),10
ALLEGHANY ST,Multi-Family (3 units),6
ALLEGHANY ST,Office,1
ALLEGHANY ST,School,1
ALLEGHANY ST,Single-Family,3
ALLEGHANY ST,Vacant,3
ALLEN RD,Multi-Family (2 units),2
ALLEN RD,Multi-Family (4-6 units),1
ALLEN RD,Single-Family,1
ALLEN ST,Multi-Family (2 units),2
ALLEN ST,Multi-Family (3 units),2
ALLEN ST,Office,1
ALLEN ST,Single-Family,2
ALLENWOOD ST,Single-Family,11
ALLERTON ST,Garage,1
ALLERTON ST,Office,2
ALLERTON ST,Vacant,5
ALLERTON ST,Warehouse,1
ALLEYNE ST,Multi-Family (2 units),1
ALLEYNE ST,Multi-Family (3 units),1
ALLEYNE ST,Single-Family,13
ALLEYNE ST,Vacant,5
ALLSTATE RD,Retail,4
ALLSTATE RD,Vacant,2
ALLSTON ST,Multi-Family (2 units),33
ALLSTON ST,Multi-Family (3 units),21
ALLSTON ST,Multi-Family (4-6 units),6
ALLSTON ST,Multi-Family (7-30 units),6
ALLSTON ST,Retail,1
ALLSTON ST,School,1
ALLSTON ST,Single-Family,27
ALLSTON ST,Vacant,7
ALMONT ST,Multi-Family (2 units),18
ALMONT ST,Multi-Family (3 units),6
ALMONT ST,Multi-Family (7-30 units),2
ALMONT ST,Single-Family,44
ALMONT ST,Vacant,8
ALNA PL,Single-Family,1
ALNA PL,Vacant,1
ALPHA RD,Multi-Family (2 units),7
ALPHA RD,Multi-Family (3 units),13
ALPHA RD,Single-Family,8
ALPHA RD,Vacant,4
ALPHEUS RD,Multi-Family (2 units),9
ALPHEUS RD,Single-Family,17
ALPINE PL,Single-Family,2
ALPINE ST,Multi-Family (2 units),3
ALPINE ST,Multi-Family (3 units),11
ALPINE ST,Office,4
ALPINE ST,Single-Family,2
ALPINE ST,Vacant,8
ALPINE WY,Vacant,2
ALTACREST RD,Single-Family,6
ALTAIR RD,Single-Family,2
ALTAIR RD,Vacant,8
ALTHEA ST,Multi-Family (3 units),6
ALTHER ST,Multi-Family (7-30 units),1
ALTHER ST,Vacant,1
ALVAH KITTREDGE PK,Multi-Family (2 units),3
ALVAH KITTREDGE PK,Multi-Family (3 units),1
ALVAH KITTREDGE PK,Office,2
ALVAH KITTREDGE PK,Single-Family,1
ALVAN TE,Multi-Family (3 units),4
ALVARADO AV,Multi-Family (2 units),3
ALVARADO AV,Single-Family,4
ALVARADO AV,Vacant,1
ALVESTON ST,Multi-Family (2 units),5
ALVESTON ST,Multi-Family (3 units),3
ALVESTON ST,Single-Family,6
ALVESTON ST,Vacant,1
ALVESTON TE,Single-Family,1
ALWARD RD,Single-Family,6
ALWIN ST,Single-Family,23
AMBOY ST,Multi-Family (2 units),1
AMBOY ST,Single-Family,3
AMBROSE ST,Vacant,1
AMERICAN LEGION HW,Garage,3
AMERICAN LEGION HW,Multi-Family (2 units),4
AMERICAN LEGION HW,Multi-Family (3 units),7
AMERICAN LEGION HW,Multi-Family (7-30 units),2
AMERICAN LEGION HW,Office,3
AMERICAN LEGION HW,Residential (Mixed-Use),5
AMERICAN LEGION HW,Restaurant,3
AMERICAN LEGION HW,Retail,8
AMERICAN LEGION HW,School,2
AMERICAN LEGION HW,Single-Family,20
AMERICAN LEGION HW,Supermarket,1
AMERICAN LEGION HW,Vacant,13
AMERICAN LEGION HW,Warehouse,2
AMESBURY ST,Single-Family,8
AMHERST ST,Multi-Family (2 units),6
AMHERST ST,Multi-Family (3 units),4
AMHERST ST,Multi-Family (4-6 units),1
AMHERST ST,Single-Family,2
AMORET RD,Vacant,3
AMORY AV,Vacant,1
AMORY ST,Garage,3
AMORY ST,Medical/Lab/Production,2
AMORY ST,Multi-Family (2 units),10
AMORY ST,Multi-Family (3 units),6
AMORY ST,Multi-Family (4-6 units),3
AMORY ST,Multi-Family (7-30 units),1
AMORY ST,Multi-Family (>= 100 units),1
AMORY ST,Office,6
AMORY ST,Residential (Mixed-Use),1
AMORY ST,Retail,1
AMORY ST,Single-Family,9
AMORY ST,Vacant,17
AMORY ST,Warehouse,4
ANAWAN AV,Multi-Family (2 units),2
ANAWAN AV,Office,1
ANAWAN AV,Single-Family,28
ANAWAN AV,Vacant,3
ANAWAN TE,Single-Family,6
ANCHOR WY,Warehouse,1
ANDERSON PL,Multi-Family (7-30 units),1
ANDERSON ST,Multi-Family (4-6 units),1
ANDERSON ST,Multi-Family (7-30 units),15
ANDERSON ST,Residential (Mixed-Use),1
ANDERSON ST,Single-Family,1
ANDOVER RD,Single-Family,2
ANDRIA RD,Multi-Family (2 units),1
ANDRIA RD,Multi-Family (3 units),2
ANDRIA RD,Single-Family,4
ANGELL ST,Multi-Family (2 units),7
ANGELL ST,Multi-Family (3 units),8
ANGELL ST,Office,4
ANGELL ST,Single-Family,3
ANGELL ST,Vacant,3
ANITA TE,Multi-Family (2 units),1
ANITA TE,Multi-Family (3 units),1
ANITA TE,Office,2
ANITA TE,Single-Family,1
ANNABEL ST,Fire/Police,1
ANNABEL ST,Multi-Family (2 units),1
ANNABEL ST,Multi-Family (3 units),2
ANNABEL ST,Multi-Family (4-6 units),1
ANNABEL ST,Residential (Mixed-Use),1
ANNABEL ST,Single-Family,3
ANNAFRAN ST,Multi-Family (2 units),3
ANNAFRAN ST,Multi-Family (3 units),1
ANNAFRAN ST,Single-Family,28
ANNAFRAN ST,Vacant,7
ANNAPOLIS ST,Multi-Family (3 units),6
ANNAPOLIS ST,Vacant,2
ANNAVOY ST,Multi-Family (2 units),2
ANNAVOY ST,Single-Family,8
ANNUNCIATION RD,Convention/Assembly,1
ANSEL RD,Retail,1
ANSELM TE,Multi-Family (2 units),6
ANSON ST,Multi-Family (2 units),3
ANSON ST,Multi-Family (3 units),4
ANSONIA RD,Single-Family,18
ANSONIA RD,Vacant,1
ANTHONY J GRIECO TE,Multi-Family (2 units),1
