st_loc,building_typology,0
HARRIET ST,Multi-Family (4-6 units),1
HARRIET ST,Single-Family,1
HARRINGTON AV,Multi-Family (2 units),1
HARRIS AV,Garage,1
HARRIS AV,Multi-Family (2 units),1
HARRIS AV,Office,2
HARRIS AV,Residential (Mixed-Use),1
HARRIS AV,Single-Family,6
HARRIS ST,Multi-Family (4-6 units),3
HARRISHOF ST,Multi-Family (2 units),9
HARRISHOF ST,Multi-Family (3 units),26
HARRISHOF ST,Multi-Family (4-6 units),4
HARRISHOF ST,Office,1
HARRISHOF ST,School,1
HARRISHOF ST,Single-Family,1
HARRISHOF ST,Vacant,2
HARRISON AV,Convention/Assembly,21
HARRISON AV,Fire/Police,2
HARRISON AV,Garage,10
HARRISON AV,Medical/Lab/Production,5
HARRISON AV,Multi-Family (2 units),1
HARRISON AV,Multi-Family (3 units),7
HARRISON AV,Multi-Family (31-99 units),1
HARRISON AV,Multi-Family (4-6 units),8
HARRISON AV,Multi-Family (7-30 units),4
HARRISON AV,Office,12
HARRISON AV,Residential (Mixed-Use),6
HARRISON AV,Restaurant,1
HARRISON AV,Retail,2
HARRISON AV,Supermarket,1
HARRISON AV,Vacant,6
HARRISON AV,Warehouse,1
HARRISON AV,Worship,3
HARRISON AV XT,Office,1
HARRISON ST,Multi-Family (2 units),3
HARRISON ST,Multi-Family (3 units),1
HARRISON ST,Single-Family,2
HARRISON ST,Worship,1
HARROW ST,Multi-Family (2 units),3
HARROW ST,Multi-Family (3 units),1
HARROW ST,Warehouse,1
HARRY AGGANIS WY,Convention/Assembly,2
HARRY AGGANIS WY,Multi-Family (7-30 units),1
HART PL,Multi-Family (2 units),4
HARTFORD CT,Multi-Family (2 units),2
HARTFORD CT,Multi-Family (3 units),1
HARTFORD CT,Single-Family,2
HARTFORD ST,Convention/Assembly,1
HARTFORD ST,Multi-Family (2 units),23
HARTFORD ST,Multi-Family (3 units),9
HARTFORD ST,Single-Family,13
HARTFORD ST,Vacant,2
HARTFORD TE,Multi-Family (2 units),1
HARTFORD TE,Single-Family,2
HARTFORD TE,Vacant,2
HARTLAND ST,Multi-Family (2 units),1
HARTLAND ST,Multi-Family (3 units),5
HARTLAWN RD,Single-Family,15
HARTLAWN RD,Vacant,1
HARTLEY TE,Multi-Family (2 units),5
HARTLEY TE,Single-Family,3
HARTWELL ST,Multi-Family (2 units),7
HARTWELL ST,Multi-Family (3 units),6
HARTWELL ST,Multi-Family (4-6 units),1
HARTWELL ST,Single-Family,1
HARVARD AV,Garage,4
HARVARD AV,Multi-Family (2 units),11
HARVARD AV,Multi-Family (3 units),6
HARVARD AV,Multi-Family (31-99 units),2
HARVARD AV,Multi-Family (4-6 units),5
HARVARD AV,Multi-Family (7-30 units),6
HARVARD AV,Office,7
HARVARD AV,Restaurant,2
HARVARD AV,Retail,17
HARVARD AV,Single-Family,7
HARVARD AV,Supermarket,1
HARVARD AV,Vacant,6
HARVARD AV,Warehouse,4
HARVARD PK,Multi-Family (3 units),5
HARVARD PL,Multi-Family (2 units),1
HARVARD PL,Multi-Family (4-6 units),1
HARVARD SQ,Single-Family,2
HARVARD ST,Convention/Assembly,2
HARVARD ST,Fire/Police,1
HARVARD ST,Garage,8
HARVARD ST,Medical/Lab/Production,2
HARVARD ST,Multi-Family (2 units),50
HARVARD ST,Multi-Family (3 units),38
HARVARD ST,Multi-Family (4-6 units),4
HARVARD ST,Office,15
HARVARD ST,Residential (Mixed-Use),8
HARVARD ST,Retail,5
HARVARD ST,School,1
HARVARD ST,Single-Family,29
HARVARD ST,Vacant,21
HARVARD ST,Warehouse,2
HARVARD ST,Worship,6
HARVARD TE,Multi-Family (3 units),5
HARVARD TE,Multi-Family (4-6 units),1
HARVARD TE,Multi-Family (7-30 units),1
HARVEST ST,Multi-Family (2 units),12
HARVEST ST,Multi-Family (3 units),10
HARVEST ST,School,1
HARVEST ST,Single-Family,1
HARVEST TE,Multi-Family (3 units),3
HARVEY STEEL RD,Supermarket,1
HARWOOD ST,Multi-Family (2 units),11
HARWOOD ST,Multi-Family (3 units),7
HARWOOD ST,Vacant,2
HASKELL ST,Multi-Family (2 units),6
HASKELL ST,Multi-Family (3 units),10
HASKELL ST,Multi-Family (4-6 units),1
HASKELL ST,Single-Family,1
HASLET ST,Multi-Family (3 units),3
HASLET ST,Single-Family,2
HASTINGS ST,Multi-Family (2 units),3
HASTINGS ST,Multi-Family (3 units),5
HASTINGS ST,Multi-Family (4-6 units),3
HASTINGS ST,Single-Family,25
HASTINGS ST,Warehouse,1
HATCH ST,Multi-Family (3 units),2
HATHAWAY ST,Multi-Family (2 units),4
HATHERLY RD,Multi-Family (2 units),21
HATHON SQ,Multi-Family (3 units),1
HATHON SQ,Vacant,1
HAUL RD,Convention/Assembly,1
HAUL RD,Vacant,3
HAUL RD,Warehouse,1
HAUTEVALE ST,Multi-Family (2 units),1
HAUTEVALE ST,Single-Family,19
HAUTEVALE ST,Vacant,2
HAVANA ST,Single-Family,13
HAVELOCK ST,Multi-Family (2 units),2
HAVELOCK ST,Multi-Family (3 units),16
HAVELOCK ST,Vacant,4
HAVEN ST,Single-Family,5
HAVEN ST,Vacant,3
HAVERFORD ST,Multi-Family (2 units),8
HAVERFORD ST,Multi-Family (3 units),8
HAVERFORD ST,Office,1
HAVERFORD ST,Single-Family,7
HAVERFORD ST,Vacant,4
HAVERHILL ST,Residential (Mixed-Use),1
HAVEY ST,Multi-Family (2 units),3
HAVEY ST,Single-Family,4
HAVEY ST,Vacant,1
HAVILAND ST,Convention/Assembly,4
HAVILAND ST,Garage,1
HAVILAND ST,Multi-Family (31-99 units),1
HAVILAND ST,Multi-Family (7-30 units),2
HAVILAND ST,Multi-Family (>= 100 units),1
HAVILAND ST,Vacant,1
HAVRE ST,Garage,6
HAVRE ST,Multi-Family (2 units),17
HAVRE ST,Multi-Family (3 units),61
HAVRE ST,Multi-Family (4-6 units),3
HAVRE ST,Multi-Family (7-30 units),2
HAVRE ST,Single-Family,14
HAVRE ST,Vacant,15
HAWKINS ST,Office,2
HAWLEY ST,Retail,1
HAWTHORNE ST,Multi-Family (2 units),8
HAWTHORNE ST,Multi-Family (3 units),2
HAWTHORNE ST,Office,2
HAWTHORNE ST,Single-Family,33
HAWTHORNE ST,Vacant,2
HAWTHORNE TE,Office,1
HAWTHORNE TE,Single-Family,2
HAYDEN ST,Vacant,1
HAYDN ST,Multi-Family (2 units),10
HAYDN ST,Multi-Family (3 units),1
HAYDN ST,Single-Family,9
HAYES RD,Office,1
HAYES RD,Single-Family,10
HAYNES ST,Multi-Family (2 units),6
HAYNES ST,Multi-Family (3 units),5
HAYNES ST,Multi-Family (4-6 units),3
HAYNES ST,Single-Family,8
HAYNES ST,Vacant,11
HAZEL PK,Vacant,1
HAZELMERE RD,Multi-Family (2 units),1
HAZELMERE RD,Single-Family,16
HAZELTON ST,Multi-Family (2 units),1
HAZELWOOD ST,Multi-Family (2 units),2
HAZELWOOD ST,Multi-Family (3 units),6
HAZELWOOD ST,Multi-Family (4-6 units),1
HAZELWOOD ST,School,1
HAZELWOOD ST,Single-Family,3
HAZELWOOD ST,Vacant,1
HAZLETON ST,Multi-Family (2 units),41
HAZLETON ST,Multi-Family (3 units),7
HAZLETON ST,Multi-Family (4-6 units),1
HAZLETON ST,Office,1
HAZLETON ST,Single-Family,7
HAZLETON ST,Vacant,5
HEATH ST,Medical/Lab/Production,2
HEATH ST,Multi-Family (2 units),5
HEATH ST,Multi-Family (3 units),8
HEATH ST,Multi-Family (4-6 units),3
HEATH ST,Office,1
HEATH ST,Residential (Mixed-Use),3
HEATH ST,School,1
HEATH ST,Single-Family,5
HEATH ST,Vacant,9
HEATH ST,Warehouse,2
HEATHCOTE ST,Convention/Assembly,1
HEATHCOTE ST,Multi-Family (2 units),2
HEATHCOTE ST,Office,1
HEATHCOTE ST,Single-Family,10
HEATHCOTE ST,Vacant,3
HEBRON ST,Multi-Family (2 units),3
HEBRON ST,Office,22
HEBRON ST,Single-Family,24
HEBRON ST,Vacant,18
HECLA ST,Multi-Family (2 units),4
HECLA ST,Multi-Family (3 units),19
HECLA ST,Multi-Family (4-6 units),1
HECLA ST,Single-Family,4
HECLA ST,Vacant,4
HEFFERAN ST,Vacant,1
HELDUN ST,Multi-Family (2 units),1
HELDUN ST,Multi-Family (3 units),1
HELDUN ST,Single-Family,8
HELDUN ST,Vacant,1
HELEN ST,Multi-Family (3 units),4
HELEN ST,Office,3
HELEN ST,Vacant,2
HELEN ST,Warehouse,1
HELENA RD,Multi-Family (2 units),6
HELENA RD,Single-Family,13
HELENA RD,Vacant,4
HEMENWAY ST,Convention/Assembly,7
HEMENWAY ST,Multi-Family (2 units),1
HEMENWAY ST,Multi-Family (3 units),2
HEMENWAY ST,Multi-Family (31-99 units),5
HEMENWAY ST,Multi-Family (4-6 units),12
HEMENWAY ST,Multi-Family (7-30 units),10
HEMENWAY ST,Retail,1
HEMENWAY ST,Vacant,2
HEMLOCK RD,Multi-Family (2 units),1
HEMLOCK RD,Single-Family,22
HEMLOCK RD,Vacant,2
HEMMAN ST,Multi-Family (2 units),3
HEMMAN ST,Multi-Family (3 units),2
HEMMAN ST,Single-Family,36
HEMMAN ST,Vacant,1
HENCHMAN ST,Multi-Family (3 units),2
HENCHMAN ST,Multi-Family (4-6 units),4
HENCHMAN ST,Multi-Family (7-30 units),1
HENDERSON RD,Vacant,9
HENDRY ST,Multi-Family (2 units),1
HENDRY ST,Multi-Family (3 units),16
HENDRY ST,Vacant,2
HENLEY ST,Single-Family,2
HENLEY ST,Vacant,4
HENRICI ST,Single-Family,1
HENRY ST,Multi-Family (4-6 units),1
HENSHAW ST,Multi-Family (2 units),2
HENSHAW ST,Multi-Family (3 units),2
HENSHAW ST,Multi-Family (4-6 units),1
HENSHAW ST,Office,2
HENSHAW ST,Retail,1
HENSHAW ST,Single-Family,3
HENSHAW ST,Vacant,1
HENSHAW TE,Multi-Family (2 units),1
HENSHAW TE,Multi-Family (4-6 units),1
HERALD ST,Garage,1
HERALD ST,Supermarket,1
HERBERT ST,Multi-Family (2 units),2
HERBERT ST,Multi-Family (3 units),1
HERBERT ST,Single-Family,2
HERBERT ST,Vacant,3
HERBERTSON RD,Multi-Family (2 units),2
HERBERTSON RD,Single-Family,2
HERBERTSON RD,Vacant,1
HEREFORD ST,Multi-Family (2 units),3
HEREFORD ST,Multi-Family (4-6 units),2
HEREFORD ST,Multi-Family (7-30 units),6
HEREFORD ST,Office,1
HEREFORD ST,Restaurant,1
HEREFORD ST,Single-Family,4
HERON ST,Multi-Family (3 units),1
HERON ST,Office,1
HERON ST,Single-Family,10
HERON ST,Vacant,9
HERON ST,Warehouse,1
HERRICK ST,Garage,1
HERRICK ST,Warehouse,2
HESSTON TE,Multi-Family (3 units),3
HESSTON TE,School,1
HESTIA PK,Multi-Family (2 units),4
HESTIA PK,Single-Family,1
HESTIA PK,Vacant,1
HEWINS ST,Multi-Family (2 units),9
HEWINS ST,Multi-Family (3 units),9
HEWINS ST,Single-Family,1
HEWINS ST,Vacant,1
HEWLETT ST,Convention/Assembly,1
HEWLETT ST,Multi-Family (2 units),21
HEWLETT ST,Multi-Family (3 units),6
HEWLETT ST,Multi-Family (4-6 units),1
HEWLETT ST,Single-Family,13
HIAWATHA RD,Multi-Family (2 units),2
HIAWATHA RD,Multi-Family (3 units),12
HIAWATHA RD,Multi-Family (4-6 units),2
HIAWATHA RD,Multi-Family (7-30 units),1
HIAWATHA RD,Single-Family,11
HIAWATHA RD,Vacant,1
HICHBORN ST,Medical/Lab/Production,1
HICHBORN ST,Multi-Family (3 units),3
HICHBORN ST,Multi-Family (4-6 units),1
HICHBORN ST,Multi-Family (7-30 units),1
HICHBORN ST,Office,1
HICHBORN ST,Single-Family,1
HICHBORN ST,Vacant,2
HIGGINS ST,Multi-Family (2 units),3
HIGGINS ST,Multi-Family (3 units),1
HIGGINS ST,Multi-Family (4-6 units),4
HIGGINS ST,Single-Family,9
HIGH RD,Office,13
HIGH RD,Single-Family,1
HIGH RD,Vacant,6
HIGH ROCK WY,Multi-Family (2 units),1
HIGH ROCK WY,Single-Family,5
HIGH ROCK WY,Vacant,1
HIGH ST,Garage,1
HIGH ST,Medical/Lab/Production,1
HIGH ST,Multi-Family (2 units),14
HIGH ST,Multi-Family (3 units),10
HIGH ST,Multi-Family (4-6 units),3
HIGH ST,Multi-Family (7-30 units),1
HIGH ST,Office,10
HIGH ST,Residential (Mixed-Use),1
HIGH ST,Single-Family,31
HIGH ST,Vacant,3
HIGH ST,Warehouse,1
HIGH VIEW AV,Convention/Assembly,1
HIGH VIEW AV,Multi-Family (2 units),5
HIGH VIEW AV,Single-Family,6
HIGH VIEW AV,Vacant,13
HIGHFIELD RD,Multi-Family (2 units),1
HIGHFIELD RD,Single-Family,9
HIGHFIELD RD,Vacant,1
HIGHFIELD TE,Single-Family,6
HIGHGATE ST,Multi-Family (2 units),3
HIGHGATE ST,Multi-Family (3 units),1
HIGHGATE ST,Multi-Family (4-6 units),1
HIGHGATE ST,Multi-Family (7-30 units),2
HIGHGATE ST,Single-Family,4
HIGHLAND AV,Convention/Assembly,3
HIGHLAND AV,Office,3
HIGHLAND AV,Single-Family,2
HIGHLAND AV,Vacant,4
HIGHLAND PARK AV,Multi-Family (2 units),11
HIGHLAND PARK AV,Single-Family,4
HIGHLAND PARK AV,Vacant,7
HIGHLAND PARK ST,Office,1
HIGHLAND PARK ST,Vacant,1
HIGHLAND ST,Convention/Assembly,1
HIGHLAND ST,Multi-Family (2 units),21
HIGHLAND ST,Multi-Family (3 units),29
HIGHLAND ST,Multi-Family (4-6 units),1
HIGHLAND ST,Office,8
HIGHLAND ST,Residential (Mixed-Use),2
HIGHLAND ST,Single-Family,43
HIGHLAND ST,Vacant,19
HIGHLAND ST,Warehouse,1
HIGHLAND TE,Vacant,2
HILARY ST,Single-Family,2
HILBURN PL,Single-Family,5
HILBURN PL,Vacant,1
HILBURN ST,Single-Family,30
HILDRETH ST,Multi-Family (2 units),2
HILDRETH ST,Multi-Family (3 units),8
HILL ST,Multi-Family (2 units),1
HILL ST,Office,1
HILL ST,Single-Family,7
HILL TOP ST,Multi-Family (2 units),12
HILL TOP ST,Office,1
HILL TOP ST,Single-Family,10
HILL TOP ST,Vacant,3
HILL TOP ST,Warehouse,1
HILLCREST ST,Multi-Family (2 units),3
HILLCREST ST,Single-Family,5
HILLCROFT RD,Single-Family,11
HILLCROFT RD,Vacant,1
HILLIS RD,Multi-Family (2 units),2
HILLIS RD,Multi-Family (4-6 units),1
HILLIS RD,Single-Family,24
HILLIS RD,Vacant,3
HILLOCK ST,Multi-Family (2 units),6
HILLOCK ST,Single-Family,16
HILLOCK ST,Vacant,3
HILLSBORO RD,Multi-Family (2 units),1
HILLSBORO RD,Single-Family,10
HILLSBORO RD,Vacant,1
HILLSBORO ST,Multi-Family (3 units),2
HILLSBORO ST,Office,2
HILLSDALE ST,Multi-Family (2 units),6
HILLSDALE ST,Single-Family,17
HILLSDALE ST,Vacant,2
HILLSIDE AV,Multi-Family (2 units),2
HILLSIDE AV,Single-Family,3
HILLSIDE ST,Garage,1
HILLSIDE ST,Multi-Family (2 units),14
HILLSIDE ST,Multi-Family (3 units),74
HILLSIDE ST,Multi-Family (4-6 units),9
HILLSIDE ST,Multi-Family (7-30 units),1
HILLSIDE ST,Single-Family,5
HILLSIDE ST,Vacant,3
HILLVIEW AV,Multi-Family (2 units),11
HILLVIEW AV,Single-Family,2
HILLVIEW AV,Vacant,1
HILTON ST,Multi-Family (2 units),2
HILTON ST,Single-Family,8
HILTON TE,Single-Family,15
HINCKLEY ST,Multi-Family (2 units),2
HINCKLEY ST,Multi-Family (3 units),7
HINCKLEY ST,Single-Family,1
HINCKLEY ST,Vacant,1
HOBART ST,Multi-Family (2 units),21
HOBART ST,Multi-Family (3 units),3
HOBART ST,Single-Family,3
HOBART ST,Vacant,1
HOBSON ST,Multi-Family (2 units),24
HOBSON ST,Multi-Family (3 units),2
HOBSON ST,Single-Family,10
HOBSON ST,Vacant,1
HODGDON TE,Single-Family,8
HODGDON TE,Vacant,4
HOLBORN PK,Single-Family,6
HOLBORN ST,Multi-Family (2 units),11
HOLBORN ST,Multi-Family (3 units),6
HOLBORN ST,Multi-Family (4-6 units),3
HOLBORN ST,Office,3
HOLBORN ST,Single-Family,8
HOLBORN ST,Vacant,2
HOLBROOK AV,Single-Family,8
HOLBROOK AV,Vacant,3
HOLBROOK ST,Multi-Family (2 units),9
HOLBROOK ST,Multi-Family (3 units),1
HOLBROOK ST,Single-Family,12
HOLDEN CT,Multi-Family (3 units),3
HOLDEN CT,Multi-Family (4-6 units),1
HOLDEN RO,Multi-Family (2 units),3
HOLDEN RO,Single-Family,1
HOLDEN RO,Vacant,3
HOLDEN ST,Multi-Family (2 units),4
HOLDEN ST,Multi-Family (3 units),5
HOLDEN ST,Multi-Family (4-6 units),3
HOLIDAY ST,Multi-Family (2 units),6
HOLIDAY ST,Multi-Family (3 units),6
HOLIDAY ST,Single-Family,14
HOLIDAY ST,Vacant,1
HOLLAND PL,Office,1
HOLLANDER ST,Multi-Family (2 units),2
HOLLANDER ST,Multi-Family (3 units),8
HOLLANDER ST,Office,5
HOLLANDER ST,Single-Family,2
HOLLANDER ST,Vacant,3
HOLLINGSWORTH ST,Garage,3
HOLLINGSWORTH ST,Medical/Lab/Production,1
HOLLINGSWORTH ST,Multi-Family (2 units),17
HOLLINGSWORTH ST,Multi-Family (3 units),2
HOLLINGSWORTH ST,Office,2
HOLLINGSWORTH ST,Single-Family,43
HOLLINGSWORTH ST,Vacant,6
HOLLIS PL,Multi-Family (3 units),2
HOLLY RD,Single-Family,11
HOLLYWOOD RD,Single-Family,26
HOLLYWOOD RD,Vacant,3
HOLMAN ST,Multi-Family (2 units),14
HOLMAN ST,Single-Family,1
HOLMES ST,Multi-Family (2 units),8
HOLMFIELD AV,Multi-Family (2 units),6
HOLMFIELD AV,Multi-Family (3 units),1
HOLMFIELD AV,Single-Family,12
HOLMFIELD AV,Vacant,1
HOLTON ST,Multi-Family (2 units),8
HOLTON ST,Multi-Family (3 units),3
HOLTON ST,Single-Family,6
HOLTON ST,Vacant,1
HOLTON ST,Warehouse,2
HOLTON ST,Worship,1
HOLWORTHY ST,Multi-Family (3 units),3
HOLWORTHY ST,Multi-Family (4-6 units),2
HOLWORTHY ST,Multi-Family (7-30 units),2
HOLWORTHY ST,Office,6
HOLWORTHY ST,Residential (Mixed-Use),3
HOLWORTHY ST,Vacant,1
HOLYOKE ST,Multi-Family (2 units),4
HOLYOKE ST,Multi-Family (3 units),4
HOLYOKE ST,Multi-Family (4-6 units),3
HOLYOKE ST,Residential (Mixed-Use),1
HOLYOKE ST,Single-Family,2
HOMER ST,Multi-Family (2 units),13
HOMER ST,Multi-Family (3 units),6
HOMER ST,Office,1
HOMER ST,Single-Family,8
HOMER ST,Vacant,1
HOMES AV,Multi-Family (2 units),11
HOMES AV,Multi-Family (3 units),33
HOMES AV,Multi-Family (7-30 units),1
HOMES AV,Office,2
HOMES AV,Single-Family,14
HOMES AV,Vacant,7
HOMES AV,Warehouse,1
HOMESTEAD ST,Multi-Family (2 units),16
HOMESTEAD ST,Multi-Family (3 units),9
HOMESTEAD ST,Multi-Family (4-6 units),6
HOMESTEAD ST,Multi-Family (7-30 units),4
HOMESTEAD ST,Residential (Mixed-Use),3
HOMESTEAD ST,Single-Family,2
HOMESTEAD ST,Vacant,3
HOMEWOOD RD,Single-Family,10
HOOKER ST,Multi-Family (2 units),20
HOOKER ST,Multi-Family (3 units),9
HOOKER ST,Multi-Family (4-6 units),1
HOOKER ST,Single-Family,2
HOOKER ST,Vacant,2
HOOPER ST,Multi-Family (2 units),2
HOOPER ST,Single-Family,2
HOOTEN CT,Multi-Family (2 units),1
HOOTEN CT,Single-Family,3
HOOTEN CT,Vacant,3
HOPEDALE ST,Multi-Family (2 units),5
HOPEDALE ST,Multi-Family (3 units),1
HOPEDALE ST,Single-Family,34
HOPESTILL ST,Multi-Family (2 units),3
HOPESTILL ST,Multi-Family (3 units),1
HOPESTILL ST,Single-Family,1
HOPEWELL RD,Multi-Family (4-6 units),1
HOPEWELL RD,Single-Family,16
HOPKINS PL,Office,1
HOPKINS PL,Single-Family,1
HOPKINS PL,Vacant,2
HOPKINS RD,Convention/Assembly,5
HOPKINS RD,Single-Family,11
HOPKINS RD,Vacant,2
HOPKINS ST,Multi-Family (2 units),1
HOPKINS ST,Multi-Family (3 units),1
HOPKINS ST,Office,1
HOPKINS ST,Single-Family,10
HOPKINS ST,Vacant,1
HORACE ST,Multi-Family (2 units),24
HORACE ST,Multi-Family (3 units),8
HORACE ST,Multi-Family (4-6 units),1
HORACE ST,School,2
HORACE ST,Single-Family,9
HORACE ST,Vacant,3
HORTON ST,Office,1
HOSMER ST,Multi-Family (2 units),1
HOSMER ST,Multi-Family (3 units),24
HOSMER ST,Multi-Family (4-6 units),6
HOSMER ST,Office,4
HOUGHTON ST,Multi-Family (2 units),11
HOUGHTON ST,Multi-Family (3 units),6
HOUGHTON ST,Single-Family,23
HOUGHTON ST,Vacant,1
HOUSTON ST,Single-Family,12
HOWARD AV,Multi-Family (2 units),11
HOWARD AV,Multi-Family (3 units),25
HOWARD AV,Multi-Family (31-99 units),1
HOWARD AV,Multi-Family (4-6 units),1
HOWARD AV,Office,4
HOWARD AV,Residential (Mixed-Use),3
HOWARD AV,Single-Family,11
HOWARD AV,Vacant,18
HOWARD PL,Multi-Family (2 units),2
HOWARD PL,Multi-Family (3 units),1
HOWARD PL,Office,1
HOWARD PL,Single-Family,2
HOWARD ST,Vacant,6
HOWARD ST,Warehouse,2
HOWE AV,Vacant,1
HOWE ST,Multi-Family (2 units),4
HOWE ST,Multi-Family (3 units),6
HOWE ST,Multi-Family (4-6 units),1
HOWE ST,Office,1
HOWE ST,Single-Family,6
HOWE ST,Vacant,6
HOWE TE,Office,3
HOWELL ST,Multi-Family (2 units),1
HOWELL ST,Multi-Family (3 units),20
HOWELL ST,Residential (Mixed-Use),1
HOWELL ST,Vacant,1
HOWES ST,Convention/Assembly,1
HOWES ST,Multi-Family (2 units),2
HOWES ST,Multi-Family (3 units),7
HOWES ST,Single-Family,9
HOWITT RD,Single-Family,27
HOWLAND ST,Multi-Family (2 units),22
HOWLAND ST,Multi-Family (3 units),19
HOWLAND ST,Multi-Family (4-6 units),1
HOWLAND ST,Single-Family,17
HOWLAND ST,Vacant,5
HOYT ST,Office,1
HOYT ST,Vacant,2
HUBBARD ST,Multi-Family (2 units),1
HUBBARD ST,Multi-Family (3 units),1
HUBBARD ST,Single-Family,7
HUBBARD TE,Vacant,1
HUBBARDSTON RD,Multi-Family (3 units),6
HUCKINS ST,Multi-Family (2 units),2
HUCKINS ST,Single-Family,5
HUDSON ST,Garage,3
HUDSON ST,Multi-Family (3 units),3
HUDSON ST,Multi-Family (31-99 units),1
HUDSON ST,Multi-Family (4-6 units),6
HUDSON ST,Multi-Family (7-30 units),1
HUDSON ST,Office,7
HUDSON ST,Residential (Mixed-Use),2
HUDSON ST,Retail,1
HUDSON ST,Single-Family,2
HUDSON ST,Vacant,3
HULL ST,Multi-Family (2 units),3
HULL ST,Multi-Family (3 units),6
HULL ST,Multi-Family (4-6 units),6
HULL ST,Multi-Family (7-30 units),6
HULL ST,Residential (Mixed-Use),1
HULL ST,Single-Family,1
HULL STREET PL,Vacant,2
HUMAROCK WY,Single-Family,4
HUMBOLDT AV,Multi-Family (2 units),7
HUMBOLDT AV,Multi-Family (3 units),14
HUMBOLDT AV,Multi-Family (4-6 units),3
HUMBOLDT AV,Multi-Family (7-30 units),2
HUMBOLDT AV,Office,1
HUMBOLDT AV,Residential (Mixed-Use),7
HUMBOLDT AV,Retail,4
HUMBOLDT AV,Single-Family,2
HUMBOLDT AV,Vacant,3
HUMBOLDT PL,Multi-Family (3 units),3
HUMBOLDT PL,Multi-Family (7-30 units),1
HUMBOLDT PL,Single-Family,1
HUMBOLDT PL,Vacant,2
HUMES RD,Single-Family,8
HUMPHREYS PL,Multi-Family (2 units),5
HUMPHREYS PL,Multi-Family (3 units),1
HUMPHREYS PL,Multi-Family (4-6 units),1
HUMPHREYS PL,Office,1
HUMPHREYS ST,Multi-Family (2 units),3
HUMPHREYS ST,Multi-Family (3 units),11
HUMPHREYS ST,Multi-Family (4-6 units),3
HUMPHREYS ST,Multi-Family (7-30 units),1
HUMPHREYS ST,Office,2
HUMPHREYS ST,Single-Family,6
HUMPHREYS ST,Vacant,7
HUMPHREYS ST,Warehouse,1
HUNNEMAN ST,Vacant,2
HUNNEWELL AV,Multi-Family (2 units),21
HUNNEWELL AV,Multi-Family (3 units),3
HUNNEWELL AV,Multi-Family (4-6 units),1
HUNNEWELL AV,Single-Family,2
HUNNEWELL AV,Vacant,1
HUNTER ST,Single-Family,1
HUNTER ST,Vacant,1
HUNTINGTON AV,Convention/Assembly,21
HUNTINGTON AV,Fire/Police,1
HUNTINGTON AV,Garage,1
HUNTINGTON AV,Hotel,3
HUNTINGTON AV,Medical/Lab/Production,2
HUNTINGTON AV,Multi-Family (2 units),36
HUNTINGTON AV,Multi-Family (3 units),21
HUNTINGTON AV,Multi-Family (31-99 units),4
HUNTINGTON AV,Multi-Family (4-6 units),8
HUNTINGTON AV,Multi-Family (7-30 units),11
HUNTINGTON AV,Multi-Family (>= 100 units),1
HUNTINGTON AV,Office,11
HUNTINGTON AV,Residential (Mixed-Use),8
HUNTINGTON AV,Restaurant,2
HUNTINGTON AV,Retail,4
HUNTINGTON AV,School,1
HUNTINGTON AV,Single-Family,78
HUNTINGTON AV,Supermarket,1
HUNTINGTON AV,Vacant,12
HUNTOON ST,Multi-Family (2 units),4
HUNTOON ST,Multi-Family (3 units),2
HUNTOON ST,Multi-Family (4-6 units),1
HUNTOON ST,Single-Family,9
HUNTOON ST,Vacant,6
HURLCROFT AV,Multi-Family (2 units),8
HURLCROFT AV,Multi-Family (3 units),1
HURON CI,Single-Family,26
HUTCHINGS ST,Multi-Family (2 units),19
HUTCHINGS ST,Multi-Family (3 units),8
HUTCHINGS ST,Multi-Family (31-99 units),1
HUTCHINGS ST,Multi-Family (4-6 units),1
HUTCHINGS ST,Multi-Family (7-30 units),1
HUTCHINGS ST,Residential (Mixed-Use),1
HUTCHINGS ST,Single-Family,4
HUTCHINSON ST,Multi-Family (2 units),4
HUTCHINSON ST,Multi-Family (4-6 units),1
HUTCHINSON ST,Single-Family,3
HYDE PARK AV,Convention/Assembly,4
HYDE PARK AV,Fire/Police,1
HYDE PARK AV,Garage,13
HYDE PARK AV,Medical/Lab/Production,8
HYDE PARK AV,Multi-Family (2 units),113
HYDE PARK AV,Multi-Family (3 units),110
HYDE PARK AV,Multi-Family (31-99 units),1
HYDE PARK AV,Multi-Family (4-6 units),25
HYDE PARK AV,Multi-Family (7-30 units),6
HYDE PARK AV,Office,13
HYDE PARK AV,Residential (Mixed-Use),11
HYDE PARK AV,Restaurant,9
HYDE PARK AV,Retail,28
HYDE PARK AV,School,4
HYDE PARK AV,Single-Family,88
HYDE PARK AV,Vacant,49
HYDE PARK AV,Warehouse,28
HYDE PARK AV,Worship,3
I ST,Multi-Family (2 units),14
I ST,Multi-Family (3 units),28
I ST,Residential (Mixed-Use),1
I ST,Single-Family,21
I ST,Vacant,5
IDAHO ST,Multi-Family (2 units),8
IDAHO ST,Multi-Family (3 units),3
IDAHO ST,Single-Family,19
IFFLEY RD,Garage,1
IFFLEY RD,Multi-Family (3 units),20
IFFLEY RD,Multi-Family (4-6 units),1
IFFLEY RD,Multi-Family (7-30 units),1
IMBARO RD,Multi-Family (2 units),4
IMBARO RD,Multi-Family (3 units),1
IMBARO RD,Single-Family,20
IMBARO RD,Vacant,2
