OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Weapons Offense,2019-01-30,445 N FEDERAL BLVD
Larceny,2018-02-23,4300 N FOREST ST
All Other Crimes,2015-10-08,432 S BROADWAY ST
Criminal Mischief-Property,2018-03-25,3925 N ONEIDA ST
Burglary,2018-05-03,5109 W ALAMEDA AVE
Larceny,2018-04-09,879 N FEDERAL BLVD
Burglary,2016-03-29,1406 W 38TH AVE
Criminal Mischief-Property,2015-07-23,3980 N FRANKLIN ST
Burglary,2016-03-30,5140 N CLARKSON ST
Burglary,2015-11-04,2645 S SANTA FE DR
Burglary,2016-07-04,3880 N HOLLY ST
Burglary,2016-02-05,2394 S BROADWAY ST
Burglary,2016-02-16,983 S VINE ST
Agg ASLT-Firearm,2019-02-09,1350 S SHERIDAN BLVD
Robbery-Street-Res,2018-03-25,1565 CALIFORNIA ST
Robbery-Business,2018-04-16,4501 N ADAMS ST
Robbery-Street-Res,2015-09-06,W CEDAR AVE / S RALEIGH ST
Robbery-Street-Res,2018-06-06,2222 LAWRENCE ST
Criminal Mischief-Property,2016-05-31,1173 S BANNOCK ST
Larceny,2018-04-19,4125 N ELATI ST
Larceny,2018-04-10,3954 N WILLIAMS ST
Burglary,2019-03-18,4975 N VASQUEZ BLVD
Burglary,2016-08-10,3925 N ONEIDA ST
Burglary,2018-05-27,2568 S BROADWAY ST
Criminal Mischief-Graffiti,2019-02-21,70 N BROADWAY ST
Burglary,2016-08-02,2042 S BANNOCK ST
Robbery-Street-Res,2016-07-02,550 N ALTON WAY
Larceny,2018-05-02,1500 E COLFAX AVE
Larceny,2018-04-17,4095 N JACKSON ST
Burglary,2018-04-03,2383 S DOWNING ST
Burglary,2016-12-13,1135 S JASON ST
Theft from Motor Vehicle,2015-06-09,2568 S BROADWAY ST
Burglary,2018-04-18,11100 E 51ST AVE
Burglary,2016-10-17,5000 E 41ST AVE
Burglary,2016-07-28,1075 S JASON ST
