OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Burglary,2017-10-18,468 S FEDERAL BLVD
Burglary,2017-02-11,8151 E COLFAX AVE
Burglary,2016-05-18,4105 N JASON ST
Burglary,2017-11-12,1350 S SHERIDAN BLVD
All Other Crimes,2015-12-09,1505 S FEDERAL BLVD
Criminal Mischief-Property,2017-09-05,10555 E 45TH AVE
Robbery-Street-Res,2016-10-09,3210 W LAYTON AVE
Burglary,2016-05-31,6853 LEETSDALE DR
Burglary,2016-02-12,2645 S SANTA FE DR
Robbery-Business,2017-07-28,5130 E COLFAX AVE
Robbery-Street-Res,2017-08-10,1055 19TH ST
Burglary,2016-08-18,4773 N FOX ST
Burglary,2016-08-30,5926 E COLFAX AVE
Burglary,2017-12-09,14456 E OLMSTED DR
Robbery-Street-Res,2017-12-10,2042 ARAPAHOE ST
Burglary,2017-01-19,380 N QUIVAS ST
Larceny,2018-10-17,5201 W 48TH AVE
Burglary,2018-08-24,3555 S YOSEMITE ST
Burglary,2018-11-06,777 N CANOSA CT
Burglary,2017-09-20,7164 E OHIO DR
Burglary,2017-10-26,4280 MORRISON RD
Criminal Mischief-Property,2017-09-18,2121 S JASON ST
Robbery-Street-Res,2017-12-06,8405 E HAMPDEN AVE
All Other Crimes,2017-09-22,2116 S KALAMATH ST
Burglary,2017-10-30,1115 S BANNOCK ST
Burglary,2017-12-17,2020 S BROADWAY ST
All Other Crimes,2017-11-20,4414 N VINE ST
Burglary,2017-10-10,4820 MORRISON RD
Burglary,2017-11-21,2568 S BROADWAY ST
All Other Crimes,2017-09-13,330 N FEDERAL BLVD
Burglary,2017-09-22,2050 S CHEROKEE ST
All Other Crimes,2017-09-21,4820 MORRISON RD
All Other Crimes,2017-11-06,2222 LAWRENCE ST
Burglary,2017-11-17,2675 W 38TH AVE
Burglary,2017-10-30,1301 S CHEROKEE ST
All Other Crimes,2017-11-20,4414 N VINE ST
Burglary,2017-09-19,3450 N BRIGHTON BLVD
Burglary,2017-09-22,1568 S FEDERAL BLVD
Robbery-Street-Res,2017-10-27,3051 S UNIVERSITY BLVD
Burglary,2017-10-28,4700 N CLAUDE CT
Burglary,2017-11-12,3995 E 50TH AVE
Burglary,2019-05-09,4750 N NOME ST
Robbery-Street-Res,2017-10-23,5015 N TUCSON WAY
Burglary,2017-09-30,2268 S DELAWARE ST
Robbery-Business,2017-09-23,5130 E COLFAX AVE
Larceny,2017-09-28,8101 E NORTHFIELD BLVD
Robbery-Street-Res,2017-10-09,950 N JULIAN ST
Simple Assault,2017-09-28,8101 E NORTHFIELD BLVD
Burglary,2017-10-17,3450 N BRIGHTON BLVD
Drug Offenses,2018-09-25,18679 E 45TH PL
Drug Offenses,2018-10-10,702 N WOLFF ST
Weapons Offense,2018-09-25,18679 E 45TH PL
All Other Crimes,2017-09-29,5227 N MONROE ST
Simple Assault,2017-11-06,2222 LAWRENCE ST
All Other Crimes,2017-12-07,2301 7TH ST
Criminal Mischief-Property,2017-12-06,2252 S KALAMATH ST
Drug Offenses,2017-11-30,4615 E COLFAX AVE
Burglary,2018-10-29,2645 S SANTA FE DR
Larceny,2017-12-15,5200 E SMITH RD
Robbery-Street-Res,2017-11-26,3200 BLOCK W 19TH AVE
Criminal Mischief-Property,2017-09-15,3100 BLAKE ST
Burglary,2017-11-09,875 N NAVAJO ST
Robbery-Street-Res,2017-10-21,4820 MORRISON RD
Burglary,2017-12-04,3954 N WILLIAMS ST
Robbery-Street-Res,2018-11-09,4539 N COLUMBINE ST
Simple Assault,2017-12-05,2949 W ALAMEDA AVE
Drug Offenses,2018-10-11,4567 N DEARBORN ST
Burglary,2018-11-04,4837 N WASHINGTON ST
Larceny,2018-12-06,1350 S SHERIDAN BLVD
Burglary,2018-12-07,930 W BYERS PL
Drug Offenses,2018-10-09,8101 E NORTHFIELD BLVD
Burglary,2018-10-30,930 W BYERS PL
Burglary,2018-10-12,4820 MORRISON RD
Burglary,2018-11-04,505 W 40TH AVE
Larceny,2018-11-24,120 S KALAMATH ST
Burglary,2018-08-01,2020 S COLORADO BLVD
Burglary,2018-10-19,3100 BLAKE ST
Criminal Mischief-Property,2018-10-12,399 S HARRISON ST
Theft from Motor Vehicle,2018-08-29,660 N BRYANT ST
Drug Offenses,2018-09-25,1290 S TENNYSON ST
Robbery-Street-Res,2018-11-13,7739 E COLFAX AVE
Larceny,2018-08-06,2209 W 32ND AVE
Burglary,2017-12-27,3954 N WILLIAMS ST
Auto Theft,2018-10-13,2835 S MONACO ST
Burglary,2018-10-13,1568 S BROADWAY ST
Burglary,2018-11-26,3855 N QUENTIN ST
Drug Offenses,2018-08-06,3480 S GALENA ST
Burglary,2018-08-01,3801 N JASON ST
All Other Crimes,2018-08-09,543 N BRYANT ST
Robbery-Street-Res,2018-10-03,3203 N QUEBEC ST
All Other Crimes,2018-11-01,1940 W MISSISSIPPI AVE
Burglary,2017-12-28,9791 E CORNELL AVE
Burglary,2018-10-10,1995 S BROADWAY ST
Burglary,2018-10-29,2601 W ALAMEDA AVE
Robbery-Street-Res,2018-10-12,15 S STEELE ST
Drug Offenses,2018-11-30,574 W 6TH AVE
Theft from Motor Vehicle,2018-11-25,11975 E 40TH AVE
Burglary,2018-08-10,1355 N SANTA FE DR
Burglary,2018-08-26,4690 N BRIGHTON BLVD
Criminal Mischief-Property,2018-10-08,4228 N YORK ST
Burglary,2018-10-14,10625 E 51ST AVE
All Other Crimes,2018-11-27,866 N NAVAJO ST
Burglary,2018-12-16,155 S PECOS ST
Burglary,2018-10-08,2568 S BROADWAY ST
Drug Offenses,2018-10-10,702 N WOLFF ST
Burglary,2018-10-13,2020 S BROADWAY ST
Burglary,2018-07-12,4000 MORRISON RD
Burglary,2018-08-01,2057 S BROADWAY ST
Drug Offenses,2018-10-09,2806 W SHORT PL
Burglary,2018-07-11,2001 S BROADWAY ST
Drug Offenses,2018-11-27,3500 PARK AVEW
Larceny,2018-12-15,330 N FEDERAL BLVD
Robbery-Street-Res,2018-07-22,1410 W 41ST AVE
Burglary,2018-10-31,4900 N COLORADO BLVD
Burglary,2018-07-12,330 S DAYTON ST
Burglary,2018-07-22,2394 S BROADWAY ST
Burglary,2018-10-14,1568 S FEDERAL BLVD
All Other Crimes,2018-08-13,4620 N PEORIA ST
Larceny,2018-12-19,2426 S FEDERAL BLVD
Robbery-Business,2019-12-11,7289 E HAMPDEN AVE
Burglary,2019-06-28,219 N VALLEJO ST
Burglary,2018-12-09,3954 N WILLIAMS ST
All Other Crimes,2019-08-20,2000 W 32ND AVE
Burglary,2018-12-10,1995 S BROADWAY ST
Burglary,2018-12-10,3944 N HIGH ST
Criminal Mischief-Property,2018-12-19,1150 W CUSTER PL
Agg ASLT-Other,2019-08-27,N BROADWAY ST / CURTIS ST
Burglary,2019-09-13,3104 BLAKE ST
Burglary,2019-05-14,2209 W 32ND AVE
Simple Assault,2019-06-28,7289 E HAMPDEN AVE
Burglary,2019-09-26,3104 BLAKE ST
Burglary,2019-11-24,5051 E 41ST AVE
All Other Crimes,2019-11-15,403 16TH ST
Simple Assault,2019-11-19,2020 S COLORADO BLVD
Robbery-Business,2019-11-04,1911 S BROADWAY ST
Burglary,2019-06-16,1100 N YUMA CT
All Other Crimes,2019-11-21,1130 PARK AVEW
Robbery-Street-Res,2019-11-11,2000 E COLFAX AVE
Burglary,2019-06-15,5077 N COLORADO BLVD
Burglary,2018-12-11,1133 N BANNOCK ST
All Other Crimes,2019-12-10,7050 N TOWER RD
Burglary,2018-12-11,4735 W 38TH AVE
